Order	Fossil/Recent	Taxa	RF	PD	Diff MPTs	MPTs	24	RF	PD	Diff MPTs
1	R	Priacma	3.5	15.8172276054	0	24	FOSSIL	5.2982234999	21.4130801439	49.4117647059
2	R	Tetraphalerus	12.8666666667	37.343940305	96	120	RECENT	7.044841381	25.5136841118	153.7333333333
3	R	Catops	24.0509259259	60.9116852611	1272	1296				
4	R	Meru	2.6666666667	10.9082604345	-12	12				
5	R	Aspidytes	20.4411764706	49.9782144198	112	136				
6	R	Spanglerogyrus	2.5	12.8487171044	-12	12				
7	R	Gyrinus	8.86	34.5355102969	76	100				
8	R	Dineutus	8.7	31.653074746	76	100				
9	R	Orectochilus	4	17.7002718114	0	24				
10	R	Gyretes	3.6666666667	16.8970208778	0	24				
11	R	Peltodytes	3.25	14.7267191876	0	24				
12	R	Brychius	2.9166666667	13.8835428166	0	24				
13	R	Apteraliplus	2.8333333333	14.5303878935	0	24				
14	R	HaliplusLiaphlus	2.9166666667	15.2051704277	0	24				
15	R	HaliplusNeohal	2.9166666667	15.2051704277	0	24				
16	R	Phreatodytes	2.1666666667	15.7245868091	-12	12				
17	R	Notomicrus	3.3333333333	13.2394719763	0	24				
18	R	Noterus	11.2368421053	45.336680213	52	76				
19	R	Synchortus	3.25	14.295982442	0	24				
20	R	Canthydrus	3.5833333333	17.4536424134	0	24				
21	R	Amphizoa	15.1872037915	45.0759651187	1664	1688				
22	R	Hygrobia	14.9411764706	41.6338618892	1200	1224				
23	R	Copelatus	8.4375	29.5181032021	40	64				
24	R	Agabus	8.34375	29.9209448937	40	64				
25	R	Dytiscus	3.5833333333	17.7189434106	0	24				
26	R	Trachypachus	3.1666666667	15.4768672876	0	24				
27	R	Systolosoma	3.4166666667	15.7089757149	0	24				
28	R	Carabus	9.88	38.0198362624	26	50				
29	R	Bembidion	2.6666666667	14.702739022	-12	12				
30	R	Pterostichus	12.0666666667	49.4390090849	6	30				
31	F 	Triaplus	3.1666666667	13.9457296021	0	24				
32	F 	Parahygrobia	3.5833333333	15.3543232375	0	24				
33	F 	Necronectes	3.1666666667	15.9138960207	0	24				
34	F 	Exedia	3.5833333333	16.4007984838	0	24				
35	F 	Stygeonectes	3	19.4342960628	-16	8				
36	F 	Charonoscapha	2.75	16.4775140616	-16	8				
37	F 	Daohugounectes	6	19.5604621626	0	24				
38	F 	Coptoclava	13.5	39.5036321867	128	152				
39	F 	Hispanoclavina	6.9285714286	21.5504409095	32	56				
40	F 	Liadytes	23.8078947368	89.4705840164	736	760				
41	F 	Liadytiscus	3.25	13.8765554108	0	24				
42	F 	Triadogyrus	2.6666666667	13.6998243842	-12	12				
43	F 	Mesodineutus	3.6666666667	16.4047735084	0	24				
44	F 	Karadromeus	2.4166666667	10.9939697953	0	24				
45	F 	Eodromeus	2.4166666667	10.9939697953	0	24				
46	F 	Fortiseode	2.6666666667	14.2159193836	-12	12				
47	F 	_Bolbonectes	3.5	16.2256734251	0	24				
