Order	Fossil/Recent	Taxa	RF	PD	Diff MPTs	MPTs	1	RF	PD	Diff MPTs
15	F 	FCretascymnus	0	0	0	1	fossil	6.8964518181	18.7006127521	36.4285714286
16	F 	FPalaeomicroides	15.8561151079	40.9649250113	138	139	recent	4.875	14.1269530322	2.1875
17	F 	FMicroetmopterus	8	22.2057865958	2	3				
18	F 	FProetmopterus	14.419047619	34.5419626655	104	105				
19	F 	FEoetmopterus	0	0	0	1				
20	F 	FProtosqualus	8	23.0921100536	11	12				
21	F 	FProtospinax	2	10.0995049384	0	1				
1	R	Etmopterus	16	36.0555127546	0	1				
2	R	Centroscymnus	2	10.5830052443	0	1				
3	R	Scymnodon	4	14.1804440422	3	4				
4	R	Scymnodalatias	4	13.4907375632	0	1				
5	R	Somniosus	2	10.5830052443	0	1				
6	R	Oxynotus	5.3333333333	16.9858414412	2	3				
7	R	Dalatias	0	0	0	1				
8	R	Isistius	0	0	0	1				
9	R	Euprotomicrus	2	10.5830052443	0	1				
10	R	Squaliolus	2	10.5830052443	0	1				
11	R	Euprotomicroides	4.6666666667	14.1167288103	2	3				
12	R	Centrophorus	12.6666666667	34.3392560623	8	9				
13	R	Deania	0	0	0	1				
14	R	Squalus	8.6666666667	16.6249692219	2	3				
22	R	Squatina	9.0666666667	25.6861451435	14	15				
23	R	Pristiophorus	5.6	12.2195924991	4	5				
