"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	2	"RF"	"PD"	"Diff MPTs"
1	"F "	"Pachyrhachis"	0	0	-1	1	"fossil"	1.6666666667	4.3868635205	-0.5
2	"F "	"Haasiophis"	10	26.3211811228	0	2	"recent"	4.5	8.9814656906	1.6666666667
3	"F "	"Dinilysia"	0	0	0	2				
4	"F "	"Wonambi"	0	0	-1	1				
17	"F "	"Eupodophis"	0	0	-1	1				
18	"F "	"Najash"	0	0	0	2				
5	"R"	"Scolecophidia"	0	0	0	2				
6	"R"	"Anilioidea"	16	24.8442378017	1	3				
7	"R"	"Xenopeltis"	14.6666666667	23.5723513387	4	6				
8	"R"	"Loxocemus"	4.6666666667	10.3147573033	1	3				
9	"R"	"Erycinae"	4	8.7439410063	7	9				
10	"R"	"Boinae"	6	13.7662812973	0	2				
11	"R"	"Pythoninae"	2.6666666667	8.2822848627	4	6				
12	"R"	"Tropidophiidae"	2	5.3956454055	5	7				
13	"R"	"Ungaliophiidae"	2	8.0622577483	-1	1				
14	"R"	"Bolyeriidae"	2	4.7958315233	0	2				
15	"R"	"Acrochordidae"	0	0	-1	1				
16	"R"	"Basal_colubroids"	0	0	0	2				
