"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	32	"RF"	"PD"	"Diff MPTs"
8	"F "	"FHaliestesdasos"	52.5506666667	259.5835048994	2968	3000	"fossil"	38.2716388889	173.9511066378	1697
9	"F "	"FPalaeoisopusproblematicus"	44.7653333333	196.9955400063	2968	3000	"recent"	24.9747129231	96.3124420254	467.125
10	"F "	"FPalaeotheadevonica"	10.875	33.0458512492	-16	16				
11	"F "	"FPalaeopantopusmaucheri"	44.8955555556	206.1795303963	868	900				
1	"R"	"Tardigrada"	10.0625	30.5758234044	0	32				
2	"R"	"Chilopoda"	8.375	29.5695602392	0	32				
3	"R"	"Xiphosura"	10.1785714286	33.7578705364	80	112				
4	"R"	"Uropygi"	10.3125	32.4294848251	64	96				
5	"R"	"Scorpiones"	6.875	26.9230564074	0	32				
6	"R"	"Araneae"	9.4375	30.6840475595	0	32				
7	"R"	"Amblypygida"	11.7291666667	33.906424609	64	96				
12	"R"	"Achelia_assimilis"	31.1455223881	129.1162766223	504	536				
13	"R"	"Achelia_sawayai"	9.1875	33.7817193868	32	64				
14	"R"	"Achelia_alaskensis"	39.2	135.5813850725	128	160				
15	"R"	"Achelia_hoekii"	41.2065217391	164.2639846196	152	184				
16	"R"	"Achelia_spicata"	10.21875	32.8312997795	32	64				
17	"R"	"Achelia_echinata"	9.6875	30.0654029355	32	64				
18	"R"	"Ammothea_clausi"	9.625	30.9483559695	32	64				
19	"R"	"Ammothea_hilgendorfi"	29.3619791667	100.4195062246	736	768				
20	"R"	"Ammothea_ovatoides"	11.53125	33.769695775	32	64				
21	"R"	"Ammothella_appendiculata"	11.34375	33.6108569017	32	64				
22	"R"	"Ammothella_spinifera"	36.2183257919	138.1722603016	1736	1768				
23	"R"	"Ammothella_tuberculata"	64.3571428571	258.8473509624	80	112				
24	"R"	"Anoplodactylus_batangensis"	8.25	29.5256323201	0	32				
25	"R"	"Anoplodactylus_erectus"	8.40625	28.5037887347	32	64				
26	"R"	"Anoplodactylus_californicus"	16.125	63.2492296512	32	64				
27	"R"	"Anoplodactylus_viridintestinali"	8.8125	30.1303074112	32	64				
28	"R"	"Anoplodactylus_petiolatus"	10.75	37.1832999861	32	64				
29	"R"	"Anoplodactylus_evansi"	7.3125	24.4087071636	0	32				
30	"R"	"Anoplodactylus_lentus"	9.25	31.6389408838	32	64				
31	"R"	"Ascorhynchus_castellioides"	51.3125	186.8598775066	32	64				
32	"R"	"Ascorhynchus_japonicum"	31.103515625	99.5320017124	992	1024				
33	"R"	"Austrodecus_glaciale"	45.566	223.7042894775	2968	3000				
34	"R"	"Austropallene_cornigera"	13.2916666667	35.8732531875	160	192				
35	"R"	"Austropallene_cristata"	15.15625	47.4770101055	160	192				
36	"R"	"Callipallene_brevirostris"	11.09375	32.8057724381	32	64				
37	"R"	"Callipallene_novaezealandiae"	10.65625	37.8410865493	32	64				
38	"R"	"Colossendeis_stramenti"	8.8125	28.129630715	0	32				
39	"R"	"Colossendeis_tenera"	48.40625	173.466867012	160	192				
40	"R"	"Decolopoda_australis"	49.328	224.9748477168	2968	3000				
41	"R"	"Endeis_mollis"	9	30.5601878647	0	32				
42	"R"	"Endeis_australis"	13.34375	34.7318174588	224	256				
43	"R"	"Eurycyde_raphiaster"	40.8633333333	176.4641290763	2968	3000				
44	"R"	"Eurycyde_spinosa"	10.15625	31.7357205762	32	64				
45	"R"	"Eurycyde_curvata"	29.4419642857	104.9369323687	864	896				
46	"R"	"Hedgpethia_dofleini"	50.9644886364	182.2261283427	1376	1408				
47	"R"	"Nymphon_brevicaudatum"	70.4	280.2860963567	48	80				
48	"R"	"Nymphon_floridanum"	63.7083333333	263.5445582234	64	96				
49	"R"	"Nymphon_hamatum"	9.0625	31.4090581577	32	64				
50	"R"	"Nymphon_uniunguiculatum"	9.6875	37.6201510789	32	64				
51	"R"	"Nymphopsis_duodorsospinosa"	31.4942434211	103.6999111509	2400	2432				
52	"R"	"Pallenopsis_macneilli"	58.2695473251	279.1650115178	940	972				
53	"R"	"Pallenopsis_macronyx"	58.5660828025	270.6759601558	2480	2512				
54	"R"	"Pantopipetta_sp"	58.7016129032	213.9697441081	960	992				
55	"R"	"Parapallene_avida"	60.8766666667	261.9765505647	2968	3000				
56	"R"	"Oropallene_minor"	64.2	272.1090526279	128	160				
57	"R"	"Pentanymphon_antarcticum"	8.25	29.3766751121	0	32				
58	"R"	"Pentapycnon_charcoti"	8.375	28.0681025275	-16	16				
59	"R"	"Phoxichilidium_femoratum"	11.25	33.8897220089	32	64				
60	"R"	"Propallene_longiceps"	10.125	37.5884309354	-16	16				
61	"R"	"Pseudopallene_ambigua"	11.8125	34.5085008428	0	32				
62	"R"	"Pycnogonum_diceros"	46.2685185185	250.7442403692	184	216				
63	"R"	"Pycnogonum_stearnsi"	58.4772117962	251.4059947619	1460	1492				
64	"R"	"Rhynchothorax_australis"	20.5245098039	60.6004349407	376	408				
65	"R"	"Sericosura_venticola"	30.1730769231	95.7503141652	800	832				
66	"R"	"Stylopallene_longicauda"	10.578125	31.1450768749	96	128				
67	"R"	"Tanystylum_californicum"	10.34375	30.1622132341	32	64				
68	"R"	"Tanystylum_orbiculare"	9.78125	31.0866695188	32	64				
