Order	Fossil/Recent	Taxa	RF	PD	Diff MPTs	MPTs	1	RF	PD	Diff MPTs
1	R	Chauliodinae	6	13.8202749611	0	1	Fossil	6.3333333333	13.9476929415	1.25
2	R	Trachypachus	4	11.1355287257	0	1	Recent	6.21875	15.4956169417	0.6875
3	R	Helophorus	4	11.1355287257	0	1				
4	R	Torridincola	2	6.6332495807	0	1				
5	R	Micromalthus	13	33.2459380936	1	2				
6	R	Priacma	4	9.3808315196	0	1				
7	R	Paracupes	11	22.7720432741	1	2				
8	R	Ascioplaga	4	11.1355287257	0	1				
9	R	Cupes	4	12.9614813968	0	1				
10	R	Tenomerga	4	12.9614813968	0	1				
11	R	Rhipsideigma	5	13.9473329599	1	2				
12	R	Distocupes	6	14.9068904716	1	2				
13	R	Omma	10	23.0434372436	0	1				
14	R	Tetraphalerus	6	12.9614813968	0	1				
15	R	Crowsoniella	6	13.8202749611	0	1				
16	R	Sikhotealinia	10.5	24.0685676336	7	8				
17	F 	FJurodes	10.6666666667	23.3727607393	2	3				
18	F 	FTshekardocoleidae	4	10.3440804328	0	1				
19	F 	FPermocupedidae	2	6.6332495807	0	1				
20	F 	FRhombocoleidae	3	8.4886650067	1	2				
21	F 	FTriadocupedinae	11.6666666667	22.4348387793	5	6				
22	F 	FAdemosynidae	4	9.3808315196	0	1				
23	F 	FSchizophoridae	4	9.3808315196	0	1				
24	F 	FCatiniidae	11.3333333333	21.5462859535	2	3				
