Order	Fossil/Recent	Taxa	RF	PD	Diff MPTs	MPTs	1	RF	PD	Diff MPTs
1	R	Tamandua	4	11.6619037897	0	1	FOSSIL	8.9938271605	21.508648708	4.1111111111
2	R	Chaetophractus	8	20.9979586176	6	7	RECENT	10.1831501832	23.0817459156	4.8461538462
3	R	Zaedyus	9.3333333333	19.9148687521	5	6				
4	R	Euphractus	5.5	14.9374350231	3	4				
5	R	Priodontes	9.5	22.7950402676	11	12				
6	R	Cabassous	9.1111111111	18.1939054528	8	9				
7	R	Dasypus	5.5	12.6128415591	3	4				
8	R	Tolypeutes	18	41.3994357759	1	2				
9	R	Chlamyphorus	12	31.064449134	0	1				
10	F 	Eutatus	11.6	28.3779560412	4	5				
11	F 	Proeutatus	17.1428571429	37.7402924383	20	21				
12	F 	Paleuphractus	2	6.3245553203	1	2				
13	F 	Macroeuphractus	6	15.4527033386	1	2				
14	F 	Doellotatus	16	33.406586177	0	1				
15	F 	Proeuphractus	14	32.8024389337	0	1				
16	F 	Vassallia	16	27.6895548742	3	4				
17	F 	Propalaeohoplophorus	16.8	31.6533060857	4	5				
18	F 	Stegotherium	7	20.9175858084	9	10				
19	F 	Prozaedius	5	15.3452275054	1	2				
20	F 	Peltephilus	8.5714285714	18.6920935576	6	7				
21	F 	Salla_armadillo	4	8.94427191	0	1				
22	F 	Isolated_petrosal	8.2666666667	22.7161249121	14	15				
