"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PF"	"Diff MPTs"	"MPTs"	8	"RF"	"PD"	"Diff MPTs"
1	"F "	"Paromomys"	4.9538461538	10.5965495743	57	65	"fossil"	3.6229655965	12.6084541766	1.1176470588
2	"F "	"Plesiadapis"	6.6666666667	17.2397499249	10	18	"recent"	3.5	13.9522256086	-4
3	"F "	"Plesiolestes"	3.4285714286	10.4069663118	6	14				
4	"F "	"Ignacius"	3.1428571429	10.9745102372	20	28				
5	"F "	"Purgatorius"	3.1764705882	10.3610854588	9	17				
6	"F "	"Adapis"	0	0	-6	2				
7	"F "	"Notharctus"	6	15.4639644715	-4	4				
8	"F "	"Cantius"	0	0	-3	5				
9	"F "	"Leptadapis"	2.8235294118	7.0505055489	9	17				
10	"F "	"Absarokius"	2	8.4852813742	-5	3				
11	"F "	"Hemiacodon"	3.3333333333	12.5729897713	7	15				
12	"F "	"Shoshonius"	7	28.0463487243	-2	6				
13	"F "	"Teilhardina"	5	16.8157889071	-2	6				
14	"F "	"Eosimias"	3	6.8007352544	-2	6				
15	"F "	"Phenacopithecus"	0	0	-5	3				
16	"F "	"Bahinia"	0	0	-3	5				
18	"F "	"Xanthorhysis"	3	12.8208775422	-4	4				
19	"F "	"Aegyptopithecus"	3.2	15.8180781995	2	10				
20	"F "	"Moeripithecus"	0	0	-7	1				
21	"F "	"Apidium"	3.7777777778	16.2961838524	1	9				
22	"F "	"Arsinoea"	1.8333333333	12.4732965001	4	12				
23	"F "	"Catopithecus"	5	18.6297198375	-4	4				
24	"F "	"Parapithecus"	0	0	0	8				
25	"F "	"Proteopithecus"	3	17.2018910061	-6	2				
26	"F "	"Qatrania"	2	11.6619037897	-7	1				
27	"F "	"Simonsius"	12	34.8007685356	-4	4				
28	"F "	"Biretia"	13	36.9968010775	-6	2				
32	"F "	"Neosaimiri"	0	0	-4	4				
33	"F "	"Dolichocebus"	0	0	-7	1				
34	"F "	"Branisella"	7	22.7623254924	-6	2				
35	"F "	"Myanmarpithecus"	0.4444444444	3.7184890068	1	9				
36	"F "	"Pondaungia"	10.4	38.5443537467	2	10				
37	"F "	"Siamopithecus"	4	20.7494143344	-1	7				
38	"F "	"Ganlea"	4	11.398863525	-2	6				
17	"R"	"Tarsius"	10.6666666667	40.9575504288	-5	3				
29	"R"	"Aotus"	3.3333333333	14.8513520057	-2	6				
30	"R"	"Saimiri"	0	0	-5	3				
31	"R"	"Callicebus"	0	0	-4	4				
