	"V1"	"V2"	"V3"
"meantablerf"	"Georgiacetus_vogtlensis"	2	9.2756649114
	"Zygorhiza_kochii"	2	8
	"Chonecetus_goedertorum"	1.6666666667	6.6246692913
	"Aetiocetus_polydentatus"	1.6666666667	6.6246692913
	"Eomysticetus_whitmorei"	3.3333333333	11.7985236271
	"Ba_mysticetus"	2.3333333333	8.5102873745
	"Ba_montalionis"	2.6666666667	10.4600970253
	"EuBa_glacialis"	1.3333333333	4.6343551669
	"Balaenula_astensis"	2	7.3010218336
	"Caperea_marginata"	2.3333333333	10.3428470781
	"Pelocetus_calvertensis"	1.3333333333	5.3333333333
	"ParietoBa_palmeri"	2.6666666667	12.72340695
	"Isanacetus_laticephalus"	1.3333333333	5.3333333333
	"Diorocetus_hiatus"	6.3333333333	21.0389610762
	"Cetotherium_rathkei"	2.8333333333	10.4673312166
	"Mixocetus_elysius"	3.1666666667	12.6899282559
	"Titanocetus_sammarinensis"	6.2222222222	23.5075865803
	"Metopocetus_durinasus"	2.3333333333	9.0625721243
	"Eschrichtius_robustus"	2.6666666667	10.0637053871
	"Bop_acutorostrata"	2	10.2649820431
	"Bop_physalus"	3	12.2462112512
	"Bop_musculus"	3	10.9515327504
	"Bop_borealis"	2	7.6761804115
	"Bop_edeni"	3.4	10.8658460501
	"Bop_omurai"	2	8
	"Mgp_novaeangliae"	5	18.1632757886
	"Mgp_hubachi"	4.3333333333	16.0444390302
	"Mgp_miocaena"	2	8.5744789421
	"Plesiocetus_cortesii"	3.8333333333	14.6978379542
	"MPST_240505"	6	20.0889148692
	"Bop_borealina"	4.2857142857	13.374032655
	"ParaBop_baulinensis"	2	9.6467983586
	"MCa_240536"	4	12.6602540378
	"Eschrichtioides_gastaldii"	2.6666666667	10.0320128274
			
			
	2	"Georgiacetus_vogtlensis"	
	3	"Zygorhiza_kochii"	
	4	"Chonecetus_goedertorum"	
	5	"Aetiocetus_polydentatus"	
	6	"Eomysticetus_whitmorei"	
	7	"Ba_mysticetus"	
	8	"Ba_montalionis"	
	9	"EuBa_glacialis"	
	10	"Balaenula_astensis"	
	11	"Caperea_marginata"	
	12	"Pelocetus_calvertensis"	
	13	"ParietoBa_palmeri"	
	14	"Isanacetus_laticephalus"	
	15	"Diorocetus_hiatus"	
	16	"Cetotherium_rathkei"	
	17	"Mixocetus_elysius"	
	18	"Titanocetus_sammarinensis"	
	19	"Metopocetus_durinasus"	
	20	"Eschrichtius_robustus"	
	21	"Bop_acutorostrata"	
	22	"Bop_physalus"	
	23	"Bop_musculus"	
	24	"Bop_borealis"	
	25	"Bop_edeni"	
	26	"Bop_omurai"	
	27	"Mgp_novaeangliae"	
	28	"Mgp_hubachi"	
	29	"Mgp_miocaena"	
	30	"Plesiocetus_cortesii"	
	31	"MPST_240505"	
	32	"Bop_borealina"	
	33	"ParaBop_baulinensis"	
	34	"MCa_240536"	
	35	"Eschrichtioides_gastaldii"	
