"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	2	"RF"	"PD"	"Diff MPTs"
1	"F "	"FPal_sciariformis"	0	0	0	2	"fossil"	0.7142857143	2.1755155406	0.2857142857
2	"F "	"FPal_afinis"	0	0	0	2	"recent"	1.1166666667	2.7909198497	-0.2
8	"F "	"FArchaeognoriste"	1	2.7386127875	2	4				
9	"F "	"FLebanognoriste"	4	12.4899959968	0	2				
10	"F "	"FPlesiognoriste_zherikhini"	0	0	0	2				
11	"F "	"FProtognoriste_amplicauda"	0	0	0	2				
12	"F "	"FLeptognoriste_davisi"	0	0	0	2				
3	"R"	"RAsio_asiatica"	0	0	0	2				
4	"R"	"RAsiorrhina_paraasiatica"	0	0	0	2				
5	"R"	"Labellorrhina_quantula"	0	0	-1	1				
6	"R"	"Loyugesa_khuati"	0	0	-1	1				
7	"R"	"Lygistorrhina_sanctaecatherinae"	5	11.2634335166	0	2				
13	"R"	"Lygistorrhina_fijiensis"	0.6666666667	2.4037008503	1	3				
14	"R"	"Matileola_yangi"	0	0	-1	1				
15	"R"	"Seguyola_sp."	1.5	4.0440251033	2	4				
16	"R"	"Blagorrhina_blagoderovi"	4	10.1980390272	-1	1				
17	"R"	"Gracillorhina_gracilis"	0	0	-1	1				
