"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff in MPTs"	"MPTs"	8	"RF"	"PD"	"Diff in MPTs"
5	"F "	"AllocBurma"	0.25	2.1286732957	0	8	"fossil"	13.6378707873	45.4935313838	27.4545454545
11	"F "	"ApolBulun"	37.8666666667	104.2594004256	22	30	"recent"	14.3096406661	45.8848509157	28.8235294118
16	"F "	"AustrCan"	0	0	-4	4				
19	"F "	"DziedzNJ"	10.5	32.9830431227	-4	4				
27	"F "	"EctrNJ"	0	0	0	8				
26	"F "	"EctrYant"	0.25	2.1286732957	0	8				
33	"F "	"Gen11"	44.4210526316	155.6639671349	11	19				
36	"F "	"Gen12Sp1"	0.25	1.4790199458	0	8				
37	"F "	"Gen12Sp2"	6	39.6472652354	0	8				
7	"F "	"Gen14"	31.4581280788	115.8165848103	195	203				
31	"F "	"Gen15Sp1"	20.0967741935	62.7787070824	54	62				
32	"F "	"Gen15Sp2"	23.1481481481	71.7671064013	46	54				
23	"F "	"Gen16"	31.3214285714	95.1631338674	48	56				
20	"F "	"Gen5"	2.25	9.4355925531	0	8				
34	"F "	"Gen6"	5.4444444444	24.2848837034	10	18				
35	"F "	"Gen7"	23.1	70.0090039024	12	20				
29	"F "	"IzleiinaMirifica"	0.25	2.1286732957	0	8				
30	"F "	"IzleiinaNJ"	17.8571428571	54.0194080499	34	42				
3	"F "	"NeuratYant"	0.25	1.4790199458	0	8				
39	"F "	"Protragoneura"	28	103.9815785772	0	8				
14	"F "	"SaigCan"	0	0	-3	5				
9	"F "	"SyntemCan"	17.3193717277	51.7039557991	183	191				
21	"R"	"AglaomyiaGattineau"	0	0	-4	4				
4	"R"	"AllocNigric"	0.25	2.1286732957	0	8				
10	"R"	"ApolephthisaSubincana"	22.6666666667	69.4135732187	-2	6				
15	"R"	"AustrosynaphaDentata"	11.3333333333	46.6427342916	-5	3				
12	"R"	"BoletinaTrivittata"	0	0	-4	4				
1	"R"	"Bolitophila"	0.3333333333	2.7386127875	-2	6				
25	"R"	"DocNG"	31.6666666667	88.1514388945	-2	6				
24	"R"	"DocosiaSp"	31.4621848739	91.5828655544	111	119				
17	"R"	"DrepanocercusEnsifer"	5	17.2886391937	-4	4				
18	"R"	"DziedzickiaFuscipennis"	1.1428571429	3.5638623735	-1	7				
28	"R"	"IndoleiaBisetosa"	2	13.0384048104	0	8				
2	"R"	"NeuratNemor"	0	0	0	8				
22	"R"	"PalaeodocosiaVittata"	34.6111111111	113.2389529765	244	252				
6	"R"	"ParatrizygiaInfuscata"	44.8	149.4782810432	-3	5				
13	"R"	"SaigusCincta"	27.9236641221	93.9125873908	123	131				
8	"R"	"SyntemSp"	12	36.1939221417	-7	1				
38	"R"	"TetragoneuraSimplicipes"	18.0740740741	52.6699175944	46	54				
