Order	Fossil/Recent	Taxa	RF	PD	Diff MPTs	MPTs	1	RF	PD	Diff MPTs
1	F 	Purgatorius	6	14.5308883225	3	4	FOSSIL	3.970959596	8.9177544628	3.125
2	F 	Palaechthon	2.3333333333	8.6148863566	5	6	RECENT	0.5	1.7853571071	0
3	F 	Paromomyidae	0	0	0	1				
4	F 	Chronolestes	5	13.4257083944	1	2				
5	F 	Carpolestidae	4.6666666667	11.2941590161	5	6				
6	F 	Plesiadapidae	0	0	0	1				
7	F 	Saxonellidae	2	7.9800315316	2	3				
8	F 	Microsyopidae	6.8888888889	14.4358546101	8	9				
9	F 	Micromomyidae	9.5555555556	16.0438138105	8	9				
10	F 	Altiatlasius	0	0	0	1				
11	F 	Altanius	5.6	12.8777580545	4	5				
12	F 	Omomyidae	7.0909090909	12.3947435456	10	11				
13	F 	Adapidae	12	23.1300670124	0	1				
14	F 	Elpidophorus	0	0	0	1				
15	F 	Plagiomene	0	0	0	1				
20	F 	Berruvius	2.4	7.9561607513	4	5				
16	R	Cynocephalidae	2	7.1414284285	0	1				
17	R	Ptilocercus	0	0	0	1				
18	R	Tupaia	0	0	0	1				
19	R	Chiroptera	0	0	0	1				
