"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PF"	"Diff MPTs"	"MPTs"	21	"RF"	"PD"	"Diff MPTs"
18	"F "	"Aivukus_cedrosensis"	1.3333333333	4.6247965852	-18	3	"fossil"	1.7387955182	6.5946189318	-7.8235294118
4	"F "	"Allodesmus_gracilis"	0.5714285714	2.3029198584	-7	14	"recent"	1.4603174603	6.3662606091	-8.4
3	"F "	"Desmatophoca_oregonensis"	5.25	13.4770193819	-13	8				
15	"F "	"Dusi_santacruzensis"	2	9.2184038437	-15	6				
16	"F "	"Dusi_seftoni"	2	9.4111525402	-18	3				
17	"F "	"Gomphotaria_pugnax"	2	7.1684782115	-15	6				
12	"F "	"Imagotaria_downsi"	2.6666666667	9.8988940104	-15	6				
10	"F "	"Kamtschatarctos_sinelnikovae"	0	0	0	21				
9	"F "	"Neotherium_mirum"	0.5	2.6457513111	7	28				
20	"F "	"Ontocetus_emmonsi"	1.6666666667	7.119828974	-3	18				
13	"F "	"Pelagiarctos_sp."	1.7142857143	7.098069327	0	21				
8	"F "	"Proneotherium_repenningi"	3	11.1461713806	-7	14				
19	"F "	"Protodobenus_japonicus"	1.3333333333	6.1572290833	-15	6				
7	"F "	"Prototaria_primigenia"	2.0952380952	7.1968599277	0	21				
11	"F "	"Pseudotaria_muramotoi"	1.3333333333	5.8239017756	0	21				
1	"F "	"Pteronarctos_goedertae"	0.5714285714	2.4487441638	-14	7				
21	"F "	"Valenictus_chulavistensis"	1.5238095238	6.3703014665	0	21				
2	"R"	"Callorhinus_ursinus"	1.1428571429	4.4773009265	-7	14				
5	"R"	"Erignathus_barbatus"	0.8571428571	3.5272919403	-14	7				
6	"R"	"Monachus_monachus"	1.5238095238	6.434954561	0	21				
22	"R"	"Odobenus_rosmarus"	1.7777777778	6.8228018604	-3	18				
14	"R"	"Pontolis_magnus"	2	10.5689537571	-18	3				
