"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PF"	"Diff MPTs"	"MPTs"	1	"RF"	"PD"	"Diff MPTs"
1	"F "	"Ichthyorni"	"0"	"0"	0	1	"fossil"	0	0	0
2	"R"	"Tinamidae"	"0"	"0"	0	1	"recent"	0	0	0
3	"R"	"Apteryx"	"0"	"0"	0	1				
4	"F "	"Megalapter"	"0"	"0"	0	1				
5	"F "	"Dinornis"	"0"	"0"	0	1				
6	"F "	"Pachyornis"	"0"	"0"	0	1				
7	"F "	"Anomalopte"	"0"	"0"	0	1				
8	"F "	"Emeus"	"0"	"0"	0	1				
9	"F "	"Euryaptery"	"0"	"0"	0	1				
10	"F "	"Aepyornis"	"0"	"0"	0	1				
11	"F "	"Mullerorni"	"0"	"0"	0	1				
12	"R"	"Struthio"	"0"	"0"	0	1				
13	"R"	"Pterocnemi"	"0"	"0"	0	1				
14	"R"	"Rhea"	"0"	"0"	0	1				
15	"R"	"Casuarius"	"0"	"0"	0	1				
16	"R"	"Dromaius"	"0"	"0"	0	1				
