"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	1	"RF"	"PD"	"Diff MPTs"
16	"F "	"Hypolophites"	31.4057971014	95.3687986704	396	414	"Fossil"	17.2951119936	54.494965603	1114.5
20	"F "	"Apocopodon"	10.5833333333	31.5922797236	54	72	"Recent"	10.2608566887	34.2946886859	255.2962962963
21	"F "	"Igdabatis_sigmodon"	29.7968526466	86.9864837392	4176	4194				
22	"F "	"Brachyrhizodus"	27.6783154122	86.5571874211	2214	2232				
27	"F "	"Myliobatis_striatus"	3.5555555556	14.8832678613	0	18				
28	"F "	"Myliobatis_toliapicus"	25.2176870748	75.5299155535	1746	1764				
29	"F "	"Myliobatis_dixoni"	5	20.8608182983	0	18				
30	"F "	"Myliobatis_wurnoensis"	29.3132045089	85.0590104931	2466	2484				
31	"F "	"Weissobatis_micklichi"	5.2222222222	19.0901796605	0	18				
33	"F "	"Aetobatus_arcuatus"	28.8794871795	94.0357422609	2322	2340				
34	"F "	"Aetobatus_irregularis"	5	21.5625176289	0	18				
37	"F "	"Rhinoptera_davisei"	5.8888888889	22.4133859247	0	18				
1	"R"	"Raja"	5.4444444444	21.9529651373	0	18				
2	"R"	"Heliobatis"	7.6666666667	28.4510337732	30	48				
3	"R"	"Asterotrygon"	4	18.9083375754	-12	6				
4	"R"	"Hexatrygon"	10.1515151515	29.8225780798	48	66				
5	"R"	"Plesiobatis"	8.2666666667	25.9543050703	42	60				
6	"R"	"Urolophus"	9.95	32.5143258767	22	40				
7	"R"	"Trygonoptera"	11.4693877551	31.4939139233	80	98				
8	"R"	"Urobatis"	9.0740740741	27.4840277773	36	54				
9	"R"	"Urotrygon"	5.2222222222	21.9365053835	0	18				
10	"R"	"Paratrygon"	14.4285714286	41.1869057915	-4	14				
11	"R"	"Plesiotrygon"	4.4444444444	17.4765574003	0	18				
12	"R"	"Potamotrygon"	4.4444444444	17.4765574003	0	18				
13	"R"	"_Himantura"	4	20.3988050842	-15	3				
14	"R"	"Taeniura"	7.652173913	29.9393486429	5	23				
15	"R"	"Himantura"	9.4736842105	39.8534894492	1	19				
17	"R"	"Dasyatis"	5.1111111111	18.6900779139	0	18				
18	"R"	"Pteroplatytrygon"	5.4444444444	22.1256907017	0	18				
19	"R"	"Gymnura"	8	26.4783644989	36	54				
23	"R"	"Myliobatis_freminvillii"	5.2222222222	19.9003820779	0	18				
24	"R"	"Myliobatis_goodei"	5.2222222222	19.9003820779	0	18				
25	"R"	"Myliobatis_aguila"	3.3333333333	14.6666127333	0	18				
26	"R"	"Myliobatis_californicus"	4.1111111111	17.5280631491	0	18				
32	"R"	"Aetobatus_narinari"	31.7643097643	98.6097598917	1764	1782				
35	"R"	"Rhinoptera_quadriloba"	29.789836348	95.0154816882	2304	2322				
36	"R"	"Rhinoptera_bonasus"	29.5710594315	94.8276918595	2304	2322				
38	"R"	"Mobula"	28.3407407407	75.0166010016	252	270				
39	"R"	"Manta_hamiltoni"	5.4444444444	18.3478305598	0	18				
