	"V1"	"V2"		
"Mega_virens"	4	17.876458758		
"Mega_zeylanica"	2.6666666667	12.9293746951		
"Pter_castanotis"	15.0724637681	48.9067438108		
"Pter_torquatus"	5.3333333333	17.6059461149		
"Todus_angustirostris"	4	14.6700768235		
"Todus_subulatus"	2.6666666667	12.9293746951		
"Galbula_cyanescens"	4	17.6315324131		
"Galbula_ruficauda"	19.0904392765	54.8007627683		
"Geranopterus_alatus"	18.2162162162	62.3079438613		
"Eocoracias_brachyptera"	4	18.4390889146		
"Primo_perneri"	1.3333333333	8.7432513657		
"Primo_mcgrewi"	2	13.5737102811		
"Primo_frugilegus"	2	9.4868329805		
"Eury_glaucurus"	2	11.4820167269		
"Eury_orientalis"	2.6666666667	15.8890754847		
"Coracias_caudata"	0.6666666667	5.2281290471		
"Coracias_garrulus"	0.6666666667	5.2281290471		
"Uratelornis_chimaera"	3.3333333333	15.2035991784		
"Brachypteracias_leptosomus"	2	12.9720877982		
"Atelornis_crossleyi"	4.3333333333	17.874969236		
"Atelornis_pittoides"	16.5793650794	50.9659524482		
"Merops_apiaster"	16.6274509804	50.9486594842		
"Merops_viridis"	2.6666666667	11.6225710782		
"Eumomota_superciliosa"	4	17.0858611753		
"Momotus_momota"	14.4	48.3507330437		
"Baryphthengus_ruficapillus"	14.5333333333	49.6004302258		
"Megaceryle_alcyon"	3.3333333333	14.7746826349		
"Alcedo_atthis"	3.3333333333	15.122354845		
"Halycon_sancta"	1.3333333333	9.1721822359		
"Dacelo_guadichaud"	6.1111111111	23.8927702719		
"Chloroceryle_americana"	3.3333333333	14.9426262111		
"Upupa_epops"	5.3333333333	19.1067664159		
"Phoeniculus_purpureus"	15.7195402299	47.5628311705		
"Bucorvus_abyssinicus"	15.508045977	48.0173217704		
"Tokus_erythrorhynchus"	3.3333333333	14.6678499389		
"Aceros_undulatus"	5	18.0259839181		
"Semnornis_rhamphastinus"	2.6666666667	14.1387227178		
"Aulacorhynchus_prasinus"	15.1154684096	48.2231001097		
"Picumnus_cirratus"	2.6666666667	12.9293746951		
"Picoides_villosus"	3.3333333333	15.9134600065		
"Campephilus_magellanicus"				
"Jacamerops_aurea"				
"Pharomachrus_mocinno"				
"Harpactes_erythrocephalus"				
"Chelidoptera_tenebrosa"				
"Nystalus_maculatus"				2
"Malacoptila_fusca"				3
				4
				5
				6
				7
				8
				9
				10
				11
				12
				13
				14
				15
				16
				17
				18
				19
				20
				21
				22
				23
				24
				25
				26
				27
				28
				29
				30
				31
				32
				33
				34
				35
				36
				37
				38
				39
				40
				41
				42
				43
				44
				45
				46
				47
				48
