"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	3	"RF"	"PD"	"Diff MPTs"
9	"F "	"Geranopterus_alatus"	18.2162162162	62.3079438613	108	111	"Fossil"	5.5099099099	22.5101654806	20.8
10	"F "	"Eocoracias_brachyptera"	4	18.4390889146	-2	1	"Recent"	6.0497750357	22.4046013584	69.8571428571
11	"F "	"Primo_perneri"	1.3333333333	8.7432513657	0	3				
12	"F "	"Primo_mcgrewi"	2	13.5737102811	0	3				
13	"F "	"Primo_frugilegus"	2	9.4868329805	-2	1				
1	"R"	"Mega_virens"	4	17.876458758	0	3				
2	"R"	"Mega_zeylanica"	2.6666666667	12.9293746951	0	3				
3	"R"	"Pter_castanotis"	15.0724637681	48.9067438108	135	138				
4	"R"	"Pter_torquatus"	5.3333333333	17.6059461149	0	3				
5	"R"	"Todus_angustirostris"	4	14.6700768235	0	3				
6	"R"	"Todus_subulatus"	2.6666666667	12.9293746951	0	3				
7	"R"	"Galbula_cyanescens"	4	17.6315324131	0	3				
8	"R"	"Galbula_ruficauda"	19.0904392765	54.8007627683	384	387				
14	"R"	"Eury_glaucurus"	2	11.4820167269	0	3				
15	"R"	"Eury_orientalis"	2.6666666667	15.8890754847	0	3				
16	"R"	"Coracias_caudata"	0.6666666667	5.2281290471	0	3				
17	"R"	"Coracias_garrulus"	0.6666666667	5.2281290471	0	3				
18	"R"	"Uratelornis_chimaera"	3.3333333333	15.2035991784	0	3				
19	"R"	"Brachypteracias_leptosomus"	2	12.9720877982	3	6				
20	"R"	"Atelornis_crossleyi"	4.3333333333	17.874969236	3	6				
21	"R"	"Atelornis_pittoides"	16.5793650794	50.9659524482	249	252				
22	"R"	"Merops_apiaster"	16.6274509804	50.9486594842	405	408				
23	"R"	"Merops_viridis"	2.6666666667	11.6225710782	0	3				
24	"R"	"Eumomota_superciliosa"	4	17.0858611753	0	3				
25	"R"	"Momotus_momota"	14.4	48.3507330437	207	210				
26	"R"	"Baryphthengus_ruficapillus"	14.5333333333	49.6004302258	207	210				
27	"R"	"Megaceryle_alcyon"	3.3333333333	14.7746826349	0	3				
28	"R"	"Alcedo_atthis"	3.3333333333	15.122354845	0	3				
29	"R"	"Halycon_sancta"	1.3333333333	9.1721822359	0	3				
30	"R"	"Dacelo_guadichaud"	6.1111111111	23.8927702719	15	18				
31	"R"	"Chloroceryle_americana"	3.3333333333	14.9426262111	0	3				
32	"R"	"Upupa_epops"	5.3333333333	19.1067664159	3	6				
33	"R"	"Phoeniculus_purpureus"	15.7195402299	47.5628311705	432	435				
34	"R"	"Bucorvus_abyssinicus"	15.508045977	48.0173217704	432	435				
35	"R"	"Tokus_erythrorhynchus"	3.3333333333	14.6678499389	0	3				
36	"R"	"Aceros_undulatus"	5	18.0259839181	3	6				
37	"R"	"Semnornis_rhamphastinus"	2.6666666667	14.1387227178	0	3				
38	"R"	"Aulacorhynchus_prasinus"	15.1154684096	48.2231001097	456	459				
39	"R"	"Picumnus_cirratus"	2.6666666667	12.9293746951	0	3				
40	"R"	"Picoides_villosus"	3.3333333333	15.9134600065	0	3				
41	"R"	"Campephilus_magellanicus"	3.3333333333	16.8697252649	0	3				
42	"R"	"Jacamerops_aurea"	3.3333333333	19.0831862275	0	3				
43	"R"	"Pharomachrus_mocinno"	4.6666666667	16.9289511988	0	3				
44	"R"	"Harpactes_erythrocephalus"	3.3333333333	14.1656551299	0	3				
45	"R"	"Chelidoptera_tenebrosa"	3.3333333333	14.4138258232	0	3				
46	"R"	"Nystalus_maculatus"	3.3333333333	13.7111502237	0	3				
47	"R"	"Malacoptila_fusca"	5.3333333333	19.528252191	0	3				
