Order	Fossil/Recent	Taxa	RF	PD	Diff MPTs	MPTs	37	RF	PD	Diff MPTs
1	F 	Hyrachyus_eximius	0.0540540541	0.2592341364	0	37	FOSSIL	2.1227560728	7.9032855683	-22.0769230769
2	F 	Trigonias_osborni	0.0540540541	0.2058317056	0	37	RECENT	1.2571428571	3.4832149069	-21.6
3	F 	Ronzotherium_filholi	2	10.3923048454	-7	30				
4	F 	Caementodon_caucasicum	2	7.6157731059	-30	7				
5	F 	Bugtirhinus_praecursor	2	8.1822091394	-13	24				
6	F 	elasm_caucasicum	0	0	-34	3				
7	F 	elasm_sibiricum	2.5	6.7935568791	-29	8				
8	F 	hisp_beonense	2	7.6157731059	-30	7				
9	F 	hisp_matritense	0	0	-20	17				
10	F 	hisp_tungurense	1	7.2399240694	-25	12				
11	F 	Iranotherium_morgani	1.3333333333	5.0771820706	-31	6				
12	F 	Gobitherium_mongoliense	0.6666666667	2.5385910353	-34	3				
13	F 	Kenyatherium_bishopi	0.0666666667	0.2538591035	-7	30				
14	F 	pare_schansiense	0	0	-26	11				
15	F 	pare_linxiaense	0	0	-32	5				
16	F 	ningx_euryrhinus	1	3.8078865529	-33	4				
17	F 	ningx_longirhinus	3	7.3159326689	-29	8				
18	F 	Sinotherium_lagrelii	0.4	1.5231546212	-27	10				
24	F 	Brachypotherium_brachypus	0.2857142857	1.3702375781	-30	7				
25	F 	Coelodonta_antiquitatis	0	0	-7	30				
26	F 	Diceratherium_armatum	0	0	-13	24				
27	F 	Menoceras_arikarense	30	94.4457516249	-36	1				
28	F 	Plesiaceratherium_mirallesi	4.5454545455	29.0856801087	-4	33				
29	F 	Prosantorhinus_douvillei	0.2857142857	1.3702375781	-30	7				
30	F 	Protaceratherium_minutum	0	0	-13	24				
31	F 	Teleoceras_fossiger	2	10.3923048454	-34	3				
19	R	Ceratotherium_simum	0	0	-7	30				
20	R	Diceros_bicornis	2	5.5577773335	-34	3				
21	R	Dicerorhinus_sumatrensis	0	0	-30	7				
22	R	rhino_sondaicus	4	10.7703296143	-7	30				
23	R	rhino_unicornis	0.2857142857	1.0879675866	-30	7				
										
	26				e					
