"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	1	"RF"	"PD"	"Diff MPTs"
2	"F "	"fossilBerycopsis"	10.8571428571	20.6718946854	13	14	"FOSSIL"	4.7678571429	10.4559262334	3.5
5	"F "	"fossilBeckerophotus"	5	11.3491989038	1	2	"RECENT"	3.6516666667	8.1949329175	2.9
6	"F "	"fossilIchthyotringa"	8.75	19.1779631904	7	8				
9	"F "	"fossilNeocassandra"	2	5.2915026221	0	1				
13	"F "	"fossilSardinioides"	0	0	0	1				
15	"F "	"fossilTelepholis"	2	6.2449979984	0	1				
1	"R"	"Alepisaurus"	5.8	14.3539118794	9	10				
3	"R"	"Chauliodus"	4.8	11.080337203	4	5				
4	"R"	"Electrona"	2	4.3588989435	1	2				
7	"R"	"Lampadena"	0	0	0	1				
8	"R"	"Melamphaes"	6	14.1144217456	2	3				
10	"R"	"Neoscopelus"	3	8.2599331385	1	2				
11	"R"	"Notolepis"	0	0	0	1				
12	"R"	"Polymixia"	7.6666666667	15.0950060925	5	6				
14	"R"	"Scopelengys"	7.25	14.6868201725	7	8				
16	"R"	"Vinciguerria"	0	0	0	1				
