"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff in MPTs"	"MPTs"	128	"RF"	"PD"	"Diff in MPTs"
4	"F "	"ACANTHOSTEGA_gunnari"	1.578125	9.7871924528	0	128	"FOSSIL"	1.6830357143	12.4155641104	18.2857142857
5	"F "	"TIKTAALIK_roseae"	1.78125	10.9864515671	0	128	"RECENT"	4.2417971242	21.7680471702	77.3698630137
48	"F "	"SORBININARDUS_apuliensis"	1.46875	9.5619467273	0	128				
56	"F "	"CLUPAVUS_maroccanus"	0.328125	2.147968104	0	128				
57	"F "	"SANTANICHTHYS_diasii"	0.3125	2.0503900103	0	128				
58	"F "	"CHANOIDES_macropoma"	1.6875	9.8749240031	0	128				
59	"F "	"LUSITANICHTHYS_characiformis"	4.625	42.5000759083	128	256				
1	"R"	"AMBYSTOMA_ORDINARIUM"	1.609375	9.6265308776	0	128				
2	"R"	"TIMON"	3.66796875	16.543296317	384	512				
3	"R"	"LATIMERIA"	19.725	64.5125783271	672	800				
6	"R"	"LEPIDOSIREN"	1.65625	10.6022519792	0	128				
7	"R"	"NEOCERATODUS"	2.453125	14.2929465806	128	256				
8	"R"	"POLYPTERUS"	1.703125	10.6952729863	0	128				
9	"R"	"ACIPENSER"	1.734375	11.0055804409	0	128				
10	"R"	"PSEPHURUS"	1.703125	10.7686508776	0	128				
11	"R"	"LEPISOSTEUS"	13.2960526316	55.6270938507	480	608				
12	"R"	"AMIA"	13.6875	67.1556095788	-64	64				
13	"R"	"ELOPS"	2.1666666667	15.8754120479	-32	96				
14	"R"	"NOTACANTHUS"	10.439516129	47.9606834867	368	496				
15	"R"	"ANGUILLA"	3.8181818182	21.3584650073	48	176				
16	"R"	"CONGER"	14.6310483871	51.5985270593	864	992				
17	"R"	"EURYPHARYNX"	1.734375	11.6087651567	0	128				
18	"R"	"MEGALOPS"	1.9875	14.6143945547	32	160				
19	"R"	"ALBULA"	13.9791666667	67.7576040579	-32	96				
20	"R"	"HIODON"	1.25	6.9142910082	-112	16				
21	"R"	"PANTODON"	1.875	11.5917465595	-112	16				
22	"R"	"XENOMYSTUS"	4.1666666667	36.1778595382	-32	96				
23	"R"	"MORMYRUS"	3.2291666667	30.029256992	-32	96				
24	"R"	"AULOPUS"	1.53125	10.3305116009	0	128				
25	"R"	"CHLOROPHTHALMUS"	8.5625	38.5809765204	0	128				
26	"R"	"ASTRONESTHES"	1.578125	9.9654915165	0	128				
27	"R"	"STOMIAS"	3.5208333333	19.8936052266	64	192				
28	"R"	"SALMO"	13.5117924528	51.162034958	720	848				
29	"R"	"COREGONUS"	6.7586206897	38.3215514629	336	464				
30	"R"	"THYMALLUS"	2.7916666667	16.2999356539	64	192				
31	"R"	"ESOX"	2.275	13.8972375561	32	160				
32	"R"	"UMBRA"	7.0714285714	32.0213966574	96	224				
33	"R"	"GALAXIAS"	11.33125	45.7449752943	512	640				
34	"R"	"RETROPINNA"	1.703125	10.635304113	0	128				
35	"R"	"STOKELLIA"	1.59375	10.4110650872	0	128				
36	"R"	"OSMERUS"	12.8552631579	46.8192810125	176	304				
37	"R"	"PLECOGLOSSUS"	3.4583333333	24.6527032505	64	192				
38	"R"	"ALEPOCEPHALUS"	1.3125	8.1823951368	-64	64				
39	"R"	"XENODERMICHTHYS"	2	13.7213010459	-32	96				
40	"R"	"SEARSIA"	1.125	7.2274872806	-64	64				
41	"R"	"ARGENTINA"	1.6875	10.9344743487	-64	64				
42	"R"	"BATHYLAGUS"	14.0816326531	52.6174233211	656	784				
43	"R"	"DENTICEPS"	10.675	45.2098959439	-48	80				
44	"R"	"ENGRAULIS"	1.609375	10.7737437625	0	128				
45	"R"	"THRYSSA"	3.84375	27.0323351076	192	320				
46	"R"	"ILISHA"	5.0096153846	24.0978407497	80	208				
47	"R"	"ETHMALOSA"	10.55	46.7208079479	-48	80				
49	"R"	"CHANOS"	3.78125	23.2531847223	0	128				
50	"R"	"GONORYNCHUS"	1.78125	11.6033841957	0	128				
51	"R"	"PHRACTOLAEMUS"	5.15	55.2126212957	32	160				
52	"R"	"GRASSEICHTHYS"	1.4375	9.1382870075	0	128				
53	"R"	"CROMERIA"	3.421875	17.0919338942	0	128				
54	"R"	"PARAKNERIA"	1.40625	9.2584729029	0	128				
55	"R"	"KNERIA"	1.5	9.7049937332	0	128				
60	"R"	"CATOSTOMUS"	2.8645833333	17.2550074513	256	384				
61	"R"	"COBITIS"	2.5486111111	14.1006713523	160	288				
62	"R"	"OPSARIICHTHYS"	1.515625	9.5006591517	0	128				
63	"R"	"DANIO"	1.46875	9.6058770289	0	128				
64	"R"	"BARBUS"	1.46875	9.6058770289	0	128				
65	"R"	"XENOCHARAX"	1.125	7.915927379	-96	32				
66	"R"	"DISTICHODUS"	1.40625	9.6463888069	-64	64				
67	"R"	"CITHARINUS"	1.4375	10.0076137277	-96	32				
68	"R"	"BRYCON"	1.5208333333	10.1784064919	-32	96				
69	"R"	"BRACHYHYPOPOMUS"	1.640625	10.5762391386	0	128				
70	"R"	"STERNOPYGUS"	1.703125	11.3169973261	0	128				
71	"R"	"GYMNOTUS"	1.625	10.7463332581	0	128				
72	"R"	"DIPLOMYSTES"	2.609375	12.7785537346	0	128				
73	"R"	"NEMATOGENYS"	1.84375	11.5606673046	0	128				
74	"R"	"TRICHOMYCTERUS"	3.2	20.0441118748	192	320				
75	"R"	"CALLICHTHYS"	2.3541666667	14.9061037929	64	192				
76	"R"	"CETOPSIS"	1.40625	8.7834473186	-64	64				
77	"R"	"SILURUS"	3.28125	18.9601740535	64	192				
78	"R"	"CHRYSICHTHYS"	1.71875	11.5451205389	0	128				
79	"R"	"BAGRUS"	1.703125	11.4682173334	0	128				
80	"R"	"PIMELODUS"	1.78125	11.731579742	0	128				
