Order	Fossil/Recent	Taxa	RF	PD	Diff in MPTs	MPTs	12	RF	PD	Diff in MPTs
44	F 	fS.APULIENSIS	3.3333333333	14.566195271	0	12	Fossil	2.3333333333	11.6229692898	0
45	F 	fC.MAROCCANUS	1.5	9.0977794065	0	12	Recent	3.6996407086	18.355054817	9.65625
46	F 	fS.DIASII	1.5	8.8898285418	0	12				
47	F 	fC.MACROPOMA	2.8333333333	13.237292197	0	12				
48	F 	fL.CHARACIFORMIS	2.5	12.3237510329	0	12				
1	R	AMIA	5	27.5620508324	24	36				
2	R	ELOPS	7.1666666667	34.2661961011	36	48				
3	R	MEGALOPS	2.6666666667	14.5251796065	0	12				
4	R	ALBULA	6.5555555556	29.4630767817	6	18				
5	R	NOTACANTHUS	12.7121212121	52.144580783	120	132				
6	R	EURYPHARYNX	2.8333333333	12.6273753713	0	12				
7	R	ANGUILLA	1.5	8.0849529841	0	12				
8	R	CONGER	2.6666666667	12.9084202197	0	12				
9	R	HIODON	4.8333333333	23.3421139661	12	24				
10	R	XENOMYSTUS	8.3055555556	44.8207671974	60	72				
11	R	PANTODON	4.8333333333	18.5283373474	0	12				
12	R	MORMYRUS	7.5	45.3973963451	24	36				
13	R	ARGENTINA	3	13.0495531807	0	12				
14	R	BATHYLAGUS	3.1666666667	13.6710349347	0	12				
15	R	ALEPOCEPHALUS	2.5	12.1342485104	0	12				
16	R	SEARSIA	2.1666666667	11.5570415879	0	12				
17	R	XENODERMICHTHYS	2.3333333333	11.7611314331	0	12				
18	R	SALMO	4.8888888889	22.5105455637	24	36				
19	R	COREGONUS	6.8	39.9530003086	48	60				
20	R	THYMALLUS	4	16.65384436	6	18				
21	R	AULOPUS	2.3333333333	11.8546859072	0	12				
22	R	CHLOROPHTHALMUS	12.0588235294	51.7368092812	90	102				
23	R	ASTRONESTHES	2	11.4316591193	0	12				
24	R	STOMIAS	2.8333333333	15.0789321278	0	12				
25	R	ESOX	2.5	12.1461164971	0	12				
26	R	UMBRA	9.6060606061	37.8538989991	54	66				
27	R	GALAXIAS	2.3333333333	12.8704508936	-6	6				
28	R	RETROPINNA	2.1666666667	12.3071159533	0	12				
29	R	STOKEILIA	2.8333333333	15.2301736983	0	12				
30	R	OSMERUS	2.6666666667	14.0059299087	-6	6				
31	R	PLECOGLOSSUS	2.3333333333	12.7908834057	-6	6				
32	R	DENTICEPS	5.5	29.6154998271	24	36				
33	R	ETHMALOSA	6.4444444444	31.6237668744	24	36				
34	R	ILISHA	2.6666666667	12.8696932404	0	12				
35	R	ENGRAULIS	2.5	14.3961908408	0	12				
36	R	THRYSSA	3.8333333333	16.002241707	12	24				
37	R	CHANOS	3.4166666667	17.6915544794	12	24				
38	R	GONORYNCHUS	3.1666666667	15.4777628713	0	12				
39	R	PHRACTOLAEMUS	4.0555555556	25.2147783453	24	36				
40	R	GRASSEICHTHYS	3	14.3074282501	0	12				
41	R	CROMERIA	4.1111111111	17.065665676	24	36				
42	R	PARAKNERIA	2.3333333333	14.3299677974	0	12				
43	R	KNERIA	2.3333333333	13.3320598292	0	12				
49	R	CATOSTOMUS	3.8888888889	18.831962945	24	36				
50	R	COBITIS	3.9333333333	16.7641726518	18	30				
51	R	OPSARIICHTHYS	2.6666666667	13.1438831586	0	12				
52	R	DANIO	2.6666666667	13.0894837157	0	12				
53	R	BARBUS	3	13.6637520743	0	12				
54	R	XENOCHARAX	1.3333333333	8.1331263313	-6	6				
55	R	DISTICHODUS	1.5	9.513681136	0	12				
56	R	CITHARINUS	0.6666666667	3.8586123009	-6	6				
57	R	BRYCON	1.3333333333	8.1331263313	-6	6				
58	R	BRACHYHYPOPOMUS	3	15.4382008746	4	16				
59	R	STERNOPYGUS	3.1666666667	15.3477787812	0	12				
60	R	GYMNOTUS	3	15.7647933736	4	16				
61	R	DIPLOMYSTES	3.25	13.7846843866	-4	8				
62	R	NEMATOGENYS	2	12.199689497	-8	4				
63	R	TRICHOMYCTERUS	3.25	19.0257483023	4	16				
64	R	CALLICHTHYS	2.5	15.0831806505	-4	8				
65	R	CETOPSIS	3.3333333333	16.0198350367	0	12				
66	R	SILURUS	2.5	12.5908404293	-8	4				
67	R	CHRYSICHTHYS	2.1666666667	13.8502547256	0	12				
68	R	BAGRUS	2.6666666667	13.0836065877	0	12				
69	R	PIMELODUS	2.5	13.2089820559	0	12				
