Order	Fossil/Recent	Taxa	RF	PD	Diff in MPTs	MPTs	568	RF	PD	Diff in MPTs
1	R	Syntelia_davidis	16.8359486448	34.2549955367	834	1402	FOSSIL	10.3895901087	27.8629164742	549
2	R	Sphaerites_glabratus	4.478125	16.5927074197	72	640	RECENT	15.1113860972	36.87789935	958.9655172414
3	R	Harvernicus	3.590625	13.7922338397	72	640				
4	R	Hbrevipalpis	3.3625	13.8861554205	72	640				
5	R	Hconfrater	3.776119403	15.5447460447	-300	268				
6	R	Htuberculatus	8.224	23.3971771748	1932	2500				
7	R	Hnubilus	4.7625	17.473296643	72	640				
8	R	Hrufipes	15.92	33.2255271156	1932	2500				
9	R	Hmicans	15.3824	38.1537661903	1932	2500				
10	R	Hauriculatus	19.9524590164	45.0612400156	652	1220				
11	R	Hsibiricus	8.8645833333	27.9472739589	-376	192				
12	R	Haquaticus	8.0175438596	26.2785667398	458	1026				
13	R	Hkhnzoriani	2.3269230769	10.1108150473	-256	312				
14	R	HserLi	50.1176	155.2212586033	1932	2500				
15	R	Harcticus	4.265625	15.4396837945	72	640				
16	R	Hobscurellus	14.384375	34.4948061404	72	640				
17	R	Hangustatus	20.8754612546	35.5674347265	1600	2168				
18	R	Hgranularis	12.7570332481	32.9750143182	214	782				
19	R	Hvillosus	4.578358209	16.7523546065	-32	536				
20	R	Hcrinitus	11.5536	28.7759170757	1932	2500				
21	R	Hterminassianae	10.021875	22.5680468558	72	640				
22	R	Hinexpectatus	36.1328	75.5899589727	1932	2500				
23	R	Hoscillator	18.5064	41.6260469381	1932	2500				
24	R	Halternans	10.9864	24.9501529066	1932	2500				
25	R	Hydrobius_fuscipes	28.9873417722	59.191126497	1328	1896				
26	R	Epimetopus_mendeli	28.5104	58.0613474885	1932	2500				
27	R	Georissus_californicus	30.6992	56.6609212768	1932	2500				
28	R	Spercheus_emarginatus	18.6792	47.0897537545	1932	2500				
29	R	Berosus_signaticollis	21.6808	48.7767560497	1932	2500				
30	F 	Hydrophilopsia_longitarsalis	4.7990196078	17.1654010607	-160	408				
31	F 	Laetopshatrovskiyi	13.9263410729	29.2151044073	1930	2498				
32	F 	Lae_hydraenoides	3.2237762238	13.2099468547	-282	286				
33	F 	Lae_mongolica	22.3144	47.3036435313	1932	2500				
34	F 	Lae_baissensis	15.7800687285	37.8809119742	14	582				
35	F 	tarsalis	7.664507772	24.5661285174	976	1544				
36	F 	Heloinceptivus	13.3608870968	39.3108866579	1416	1984				
37	F 	Heloyixianus	3.8611111111	14.8737758836	-280	288				
38	F 	Helopalaeosibiricus	3.8	14.935818945	-248	320				
39	F 	Cretotaeniapallida	15.1657894737	40.1675469097	192	760				
