"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PF"	"Diff MPTs"	"MPTs"	2	"RF"	"PD"	"Diff MPTs"
2	"F "	"Araripemys"	1	4.1231056256	0	2	"FOSSIL"	2.3086419753	10.6633988379	0.4074074074
3	"F "	"Euraxemydidae"	1	4.1231056256	0	2	"RECENT"	2.9	13.4722915224	0.7777777778
4	"F "	"Bothremydidae"	2	10.8313095581	0	2				
5	"F "	"Portezueloemys"	0	0	0	2				
6	"F "	"Brasilemys"	2	10.8313095581	0	2				
7	"F "	"Hamadachelys"	1	8.4852813742	0	2				
8	"F "	"Bauruemys"	6.3333333333	30.5118156458	4	6				
9	"F "	"Pricemys"	2	8.2462112512	0	2				
10	"F "	"Peiropemys"	3	9.9540575205	0	2				
11	"F "	"Lapparentemys"	2	9.4339811321	0	2				
18	"F "	"Turkanemys"	2	12.6083869999	0	2				
21	"F "	"Neochelys"	2	12.0988406099	0	2				
22	"F "	"Papoulemys"	1	7.1239034244	0	2				
23	"F "	"Caninemys"	2	8.2462112512	1	3				
24	"F "	"Dacquemys"	6	21.6893210592	0	2				
25	"F "	"UCMP_42008"	2	11.24700905	0	2				
26	"F "	"Mogharemys"	2	8.2462112512	0	2				
27	"F "	"Brontochelys"	2	8.2462112512	0	2				
28	"F "	"Lemurchelys"	2	9.2601295887	0	2				
29	"F "	"Shweboemys"	2	9.2601295887	0	2				
30	"F "	"Stereogenys"	3.5	19.5984233723	2	4				
31	"F "	"Latenemys"	3.5	16.5138310599	2	4				
32	"F "	"Cordichelys"	4	14.2481378196	2	4				
33	"F "	"Bairhartsteini"	2	8.2462112512	0	2				
34	"F "	"Bairvenezuelensis"	2	8.2462112512	0	2				
35	"F "	"Bairsanchezi"	2	8.2462112512	0	2				
36	"F "	"Bairwinklerae"	2	8.2462112512	0	2				
12	"R"	"Podoerythrocephala"	3	16.2783514068	0	2				
13	"R"	"Podoexpansa"	2	8.2462112512	-1	1				
14	"R"	"Podolewyana"	2	8.2462112512	0	2				
15	"R"	"Podosextuberculata"	3.6	16.3136830697	3	5				
16	"R"	"Podounifilis"	4	17.7159876985	1	3				
17	"R"	"Podovogli"	5.5	23.4356250507	2	4				
19	"R"	"Erymnochelys"	2	11.24700905	0	2				
20	"R"	"Peltocephalus"	3	15.6444392975	2	4				
1	"R"	"Pelomedusidae"	1	4.1231056256	0	2				
