"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff in MPTs"	"MPTs"	96	"RF"	"PD"	"Diff in MPTs"
28	"F "	"Halitherses"	6.8958333333	20.5151924286	0	96	"fossil"	5.6746794872	18.448429935	-57.6666666667
29	"F "	"FAmeticos_scolos"	4.4615384615	14.7018215103	-83	13	"recent"	8.0658528558	24.5589593532	-9.175
30	"F "	"Macrogyion_cronus"	5.6666666667	20.1282758662	-90	6				
1	"R"	"Carcinoscorpius"	6.7142857143	24.0342048523	-26	70				
2	"R"	"Androctonus"	6.1875	21.1789011901	0	96				
3	"R"	"Belisarius"	8.737704918	25.7920140773	26	122				
4	"R"	"Siro"	7.3541666667	25.6230684651	0	96				
5	"R"	"Parasiro"	7.2857142857	22.6342528436	-26	70				
6	"R"	"Stylocellus"	6.5142857143	22.3094553293	-26	70				
7	"R"	"StylocellusJP"	6.5142857143	22.3094553293	-26	70				
8	"R"	"Dalquestia"	6.5517241379	20.394593579	-38	58				
9	"R"	"Odiellus"	7.2307692308	24.580056599	-70	26				
10	"R"	"Phalangium"	7.2307692308	24.580056599	-70	26				
11	"R"	"Opilio"	7.2307692308	24.7195806414	-70	26				
12	"R"	"Astrobunus"	5.4	19.8493118531	-26	70				
13	"R"	"Nelima"	10.025	27.8480916323	-16	80				
14	"R"	"Leiobunum"	5.7083333333	22.9157015476	0	96				
15	"R"	"Hadrobunus"	5.6666666667	22.8648481907	0	96				
16	"R"	"Caddo"	9.8	27.759691322	-16	80				
17	"R"	"Ischyropsalis"	7.625	25.1014928039	0	96				
18	"R"	"Hesperonemastoma"	12.9180327869	34.0046386247	-35	61				
19	"R"	"Ceratolasma"	6.6153846154	28.2626527794	-83	13				
20	"R"	"Sabacon"	8.25	25.4839866555	0	96				
21	"R"	"Taracus"	8.2847222222	26.3621001638	192	288				
22	"R"	"Dicranolasma"	11.3714285714	27.4528522638	-61	35				
23	"R"	"Centetostoma"	9.0963855422	25.352647746	70	166				
24	"R"	"Ortholasma"	15.5142857143	28.2801356998	-26	70				
25	"R"	"Nemastoma"	12.2295081967	29.222643421	-35	61				
26	"R"	"Nipponopsalis"	12.3157894737	31.2137937328	56	152				
27	"R"	"Trogulus"	7.4285714286	23.4101397543	-61	35				
31	"R"	"Equitius"	6.0857142857	20.5627119712	-26	70				
32	"R"	"Triaenobunus"	6.0857142857	20.5627119712	-26	70				
33	"R"	"Zuma"	6.0857142857	20.5627119712	-26	70				
34	"R"	"Oncopus"	9	28.8915039355	-18	78				
35	"R"	"Gnomulus"	8.9583333333	26.1622912664	0	96				
36	"R"	"Scotolemon"	4.6875	18.0761405151	0	96				
37	"R"	"Maiorerus"	7.4426229508	20.5718371814	26	122				
38	"R"	"Bishopella"	6.9428571429	24.2845363424	-26	70				
39	"R"	"Gnidia"	5.8125	21.6157360091	0	96				
40	"R"	"Pachyloides"	8.5208333333	24.3176764398	0	96				
41	"R"	"Hoplobunus"	8.5081967213	22.3362348346	26	122				
42	"R"	"Solifugae"	8.4571428571	24.7720282859	44	140				
43	"R"	"Pseudoscorpiones"	10.2459016393	26.1018857094	26	122				
