"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	2	"RF"	"PD"	"Diff MPTs"
1	"R"	"Nandinia_binotata"	0	0	0	2	"fossil"	3	6.3146741587	0.625
2	"R"	"Manis_crassicaudata"	3.5	6.9908594045	2	4	"recent"	2.5833333333	5.4600835779	-0.5
3	"R"	"Manis_javanica"	7	13.9817188091	0	2				
4	"R"	"Manis_pentadactyla"	5.5	12.6255732393	2	4				
5	"R"	"Smutsia_gigantea"	0	0	0	2				
6	"R"	"Smutsia_temminckii"	5	10.6828721917	0	2				
7	"R"	"Ph.tetradactyla"	3	6.2363696246	2	4				
8	"R"	"Ph.tricuspis"	0	0	-1	1				
9	"F "	"Patriomanis_americana"	6	12.5545429203	0	2				
10	"F "	"Cryptomanis_gobiensis"	0	0	0	2				
11	"F "	"Necromanis_sp."	8	15.3622914957	-1	1				
12	"F "	"Eomanis_waldi"	0	0	-1	1				
13	"F "	"Euromanis_krebsi"	0	0	-1	1				
14	"F "	"Eurotamandua_joresi"	6	14	-1	1				
15	"F "	"Palaeanodon_sp."	0	0	-1	1				
16	"F "	"Metacheiromys_sp."	0.6666666667	1.7638342074	1	3				
