"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	9	"RF"	"PD"	"Diff MPTs"
1	"F "	"Pp_lothaga"	6	12.1655250606	-6	3	"fossil"	8.001558584	16.0618688549	-2.8125
8	"F "	"D_ingens"	0	0	-8	1	"recent"	23.3571428571	43.9980784234	-4
9	"F "	"Gorgopithe"	0	0	-6	3				
10	"F "	"P_quadrati"	6	11.9163752878	-8	1				
11	"F "	"Pp_ado"	3	10.3198837203	-3	6				
12	"F "	"Pp_broomi"	2	7.6352511377	0	9				
13	"F "	"Pp_jonesi"	10.5714285714	20.7146741108	5	14				
14	"F "	"Pp_whitei"	26	57.6492870551	-6	3				
15	"F "	"Pl_alemui"	4.75	11.6189604302	-1	8				
16	"F "	"Pr_antiquu"	21.5	36.0788821249	3	12				
17	"F "	"T_brumpti"	8	15.6204993518	-8	1				
18	"F "	"T_o_darti"	0	0	-6	3				
19	"F "	"T_baringen"	0	0	-6	3				
20	"F "	"L_cf_albig"	2.6666666667	6.5996632911	-6	3				
21	"F "	"Papio_izod"	20.8	40.3346880224	1	10				
22	"F "	"Papio_angu"	16.7368421053	26.3362120857	10	19				
2	"R"	"Macaca"	28	46.8576880479	-7	2				
3	"R"	"Cercocebus"	28.5	58.4361457476	-5	4				
4	"R"	"Lophocebus"	27.3333333333	50.0536481231	6	15				
5	"R"	"Mandrillus"	24.6666666667	44.0455288016	-6	3				
6	"R"	"Papio"	26	47.3286382648	-8	1				
7	"R"	"Theropithe"	28	58.0245296295	-5	4				
23	"R"	"Rungwecebu"	1	3.2403703492	-3	6				
