Order	Fossil/Recent	Taxa	RF	PD	Diff MPTs	MPTs	1	RF	PD	Diff MPTs
4	F 	FLycoptera	4	7.2111025509	0	1	Fossil	4.5	8.0876148421	0.25
5	F 	FParalycoptra	2	5.0990195136	0	1	Recent	5.5607406282	0.4545454545	1.4545454545
6	F 	FSingida	10	14.9413177902	1	2				
7	F 	FPhareodus	2	5.0990195136	0	1				
1	R	Elops	2	5.0990195136	0	1				
2	R	Odaxothrissa	2	5.0990195136	0	1				
3	R	Hiodon	6	13.5722135993	1	2				
8	R	Arapaima	0	0	0	1				
9	R	Heterotis	0	0	0	1				
10	R	ScleropagesA	0	0	0	1				
11	R	ScleropagesB	0	0	0	1				
12	R	Osteoglossum	0	0	0	1				
13	R	Pantodon	2	5.0990195136	0	1				
14	R	Gnathonemus	13.3333333333	18.6460653856	2	3				
15	R	Notopterus	8.6666666667	13.6528093846	2	3				
