"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	6	"RF"	"PD"	"Diff MPTs"
1	"F "	"Diadectomorpha"	38.2592592593	134.2371837777	48	54	"fossil"	18.4988265065	79.6758614883	61.9322033898
2	"F "	"Casea"	23.1653543307	104.3635853485	121	127	"recent"	7.4985315297	32.8519289153	25.15
3	"F "	"Ophiacodon"	26.7727272727	121.3017215608	82	88				
4	"F "	"Edaphosauridae"	7.3333333333	40.8278489394	6	12				
5	"F "	"Sphenacodontidae"	27.3461538462	179.7747287851	46	52				
6	"F "	"Gorgonopsia"	49.9555555556	299.8616657342	84	90				
7	"F "	"Procynosuchus"	37.6315789474	151.0439717742	70	76				
8	"F "	"Morganucodon"	60.3	276.0681223125	14	20				
9	"F "	"Glyptodon"	0.6666666667	4.136557882	0	6				
10	"F "	"Glyptotherium"	0.6666666667	4.136557882	-3	3				
11	"F "	"Doedicurus"	0	0	-3	3				
12	"F "	"Panochthus"	30.3048780488	124.326900484	158	164				
15	"F "	"Captorhinidae"	2.6666666667	19.630613219	12	18				
16	"F "	"Paleothyris"	1	7.8782152688	0	6				
17	"F "	"Araeoscelidia"	10.1	44.0409781628	74	80				
18	"F "	"Claudiosaurus"	21.53125	89.8273680349	58	64				
19	"F "	"Younginiformes"	42.3088235294	202.6996914897	130	136				
20	"F "	"Kuehneosauridae"	33.174863388	133.4854500839	360	366				
21	"F "	"Coahomasuchus"	30.8	115.38392687	59	65				
22	"F "	"Desmatosuchus"	12.8709677419	53.9905985103	56	62				
23	"F "	"Typothorax"	0.3333333333	2.068278941	0	6				
24	"F "	"Paratypothorax"	29.0196078431	120.1595379597	45	51				
25	"F "	"Pseudopalatus"	29.8923076923	113.0989278717	124	130				
26	"F "	"Rutiodon"	0.6666666667	5.8099363278	0	6				
27	"F "	"Protosuchus"	18.5	69.1101960718	18	24				
28	"F "	"Akanthosuchus"	10.4482758621	56.429829142	52	58				
29	"F "	"Simosuchus"	15.0909090909	71.6123704516	38	44				
30	"F "	"Goniopholis"	5.1428571429	33.97131491	8	14				
31	"F "	"Mahajangasuchus"	10.5172413793	51.5044662394	52	58				
36	"F "	"Euoplocephalus"	1	6.6531693604	0	6				
37	"F "	"Pinacosaurus"	1	7.6246328047	0	6				
38	"F "	"Sauropelta"	33.5555555556	138.0293752449	48	54				
39	"F "	"Stegosaurus"	34	137.5587643584	102	108				
40	"F "	"Scelidosaurus"	33.4814814815	131.6208213559	48	54				
41	"F "	"Scutellosaurus"	3.25	18.7542707508	10	16				
42	"F "	"Malagasytitanosaurid"	0	0	-4	2				
43	"F "	"Saltasaurus"	1	10.4642247682	-2	4				
44	"F "	"Malititanosaurid"	32.7014925373	134.7227550501	128	134				
45	"F "	"Proganochelys"	39.4367816092	134.6388879038	168	174				
50	"F "	"Baena"	32.7368421053	133.711953448	108	114				
61	"F "	"Glyptosaurinae"	1	11.2249721603	-4	2				
62	"F "	"Mesosauridae"	2.9444444444	23.755024991	30	36				
63	"F "	"Millerettidae"	32.1212121212	121.7679506554	60	66				
64	"F "	"Anthodon"	0.6666666667	5.8099363278	0	6				
65	"F "	"Scutosaurus"	0.6666666667	5.8099363278	0	6				
66	"F "	"Bradysaurus"	9	33.232216333	10	16				
67	"F "	"Pareiasaurus"	1	7.8782152688	0	6				
68	"F "	"Procolophon"	31.9523809524	127.7244577435	36	42				
69	"F "	"Owenetta"	1	7.8782152688	0	6				
70	"F "	"Placodus"	32.2666666667	105.9447815278	9	15				
71	"F "	"Eosauropterygia"	35.6543209877	135.520596317	318	324				
72	"F "	"Cyamodontoidea"	8.1764705882	42.9745339624	62	68				
73	"F "	"Rhyncosauria"	33.6666666667	130.7855050412	36	42				
74	"F "	"Trilophosaurus"	30.3324396783	117.5932569739	367	373				
75	"F "	"Choristodera"	1.5	11.8120543804	6	12				
76	"F "	"Prolacertiformes"	6.2941176471	36.3106859	28	34				
77	"F "	"Acleistorhinus"	36.4795321637	137.6427641796	165	171				
78	"F "	"Lanthanosuchidae"	1	7.8782152688	0	6				
79	"F "	"Macroleter"	37.0810810811	144.7731101029	216	222				
13	"R"	"Dasypus"	0.6666666667	5.8099363278	0	6				
14	"R"	"Zaedyus"	1.6666666667	12.1534670482	0	6				
32	"R"	"Alligator"	29.4325581395	115.5912060609	209	215				
33	"R"	"Crocodylus"	0.6666666667	5.8099363278	0	6				
34	"R"	"Caiman"	1	7.8782152688	0	6				
35	"R"	"Gavialis"	1	7.8782152688	0	6				
46	"R"	"Pseudemys"	1.8333333333	11.0700005942	6	12				
47	"R"	"Geochelone"	0.6666666667	5.8099363278	0	6				
48	"R"	"Chelydra"	0.3333333333	2.068278941	0	6				
49	"R"	"Trionyx"	35.6315789474	135.4476601849	108	114				
51	"R"	"Sphenodon"	14	47.3942688868	0	6				
52	"R"	"Heloderma"	11.9285714286	61.5102216282	50	56				
53	"R"	"Corucia"	31.0303030303	129.1546731545	60	66				
54	"R"	"Tiliqua"	14.1142857143	62.168991317	64	70				
55	"R"	"Cordylus"	2	13.2106663734	6	12				
56	"R"	"Zonosaurus"	0.6666666667	5.8099363278	0	6				
57	"R"	"Anguis"	0.6666666667	5.8099363278	0	6				
58	"R"	"Ophisaurus"	0.6666666667	5.8099363278	0	6				
59	"R"	"Gerrhonotus"	1	8.3265478062	0	6				
60	"R"	"Elgaria"	1	8.3265478062	0	6				
