"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff in MPTs"	"MPTs"	2	"RF"	"PD"	"Diff in MPTs"
1	"F "	"FBirgeria"	1	4.1833001327	0	2	"fossil"	2.3333333333	5.7666554747	-0.2
2	"F "	"FChondrosteus"	2.6666666667	8.3893173653	1	3	"recent"	3.6210526316	9.2165778016	2.6666666667
3	"F "	"FPeipiaosteus"	0	0	-1	1				
5	"F "	"FProtopsephurus"	2	7.7459666924	-1	1				
6	"F "	"FPsammorhynchus"	6	8.514693183	0	2				
4	"R"	"Polyodon"	5.6	14.6817097834	3	5				
7	"R"	"Hhuso"	4	9.5063719126	1	3				
8	"R"	"Scaphirhynchus"	6.6666666667	17.0315814466	1	3				
9	"R"	"Pkauffmani"	1	4.0620192023	0	2				
10	"R"	"Phermanni"	6.8	15.7886953933	3	5				
11	"R"	"Abrevirostrum"	1	2.7386127875	0	2				
12	"R"	"Astellatus"	9.3333333333	21.3252051403	7	9				
13	"R"	"Aruthenus"	2	5.4772255751	0	2				
14	"R"	"Afulvescens"	2	5.4772255751	0	2				
15	"R"	"Aoxyrinchus"	0	0	0	2				
16	"R"	"Atransmontanus"	0	0	0	2				
17	"R"	"Abaeri"	5.0526315789	14.5102868031	17	19				
