Order	Fossil/Recent	Taxa	RF	PD	Diff MPTs	MPTs	1	RF	PD	Diff MPTs
1	R	Diomedea	8	17.4801526335	2	3	fossil	6.3	12.3126778981	0.6
2	R	Fregata	11.1428571429	21.9474668151	6	7	recent	7.2863809801	16.3710488437	2.9375
3	R	Psadeliae	6	12.1655250606	0	1				
4	R	Psantarctica	6	14.5602197786	0	1				
5	R	Pspapua	13.5555555556	29.6432598662	8	9				
6	R	Megadytesantipodes	10.9230769231	23.4362418156	12	13				
7	R	Echrysocome	8.4	18.5219335483	4	5				
8	R	Echrysolophus	4	13.1909059583	0	1				
9	R	Epachyrrhynchus	4	10.4880884817	0	1				
10	R	Eminor	10.7272727273	18.9538115021	10	11				
11	R	Sdemersus	2	6.164414003	0	1				
12	R	Shumboldti	2	6.164414003	0	1				
13	R	Smagellanicus	10.5	26.7404865621	3	4				
14	R	Smendiculus	2	6.164414003	0	1				
15	R	Aforsteri	13.3333333333	28.4414395938	2	3				
16	R	Apatagonicus	4	7.874007874	0	1				
17	F 	FPalaeosbiloculata	4	7.874007874	0	1				
18	F 	FMadrynornismirandus	4	7.874007874	0	1				
19	F 	FParaantarcticus	11.5	22.1299775677	3	4				
20	F 	FSurbinai	4	7.874007874	0	1				
21	F 	FSmegarhamphus	8	15.8113883008	0	1				
