Order	Fossil/Recent	Taxa	RF	PD	Diff MPTs	MPTs	28	RF	PD	Diff MPTs
6	F 	Perleidus	1.5	5.4083269132	-24	4	fossik	1.4960200258	5.995135422	-5.7272727273
7	F 	Hulettia	1.0714285714	4.6170610008	0	28	recent	1.8053476946	6.5230980834	10.5
8	F 	Macrosemius	1.9183673469	7.3226400949	21	49				
9	F 	Watsonulus	1.1428571429	4.8294663478	-21	7				
10	F 	Brachydegma	0.8571428571	3.9368306509	-14	14				
11	F 	Caturus	1.1428571429	4.7623688542	0	28				
12	F 	Semionotus	2.3571428571	7.976359998	28	56				
13	F 	Lepidotes	4.4516129032	16.4733914885	34	62				
14	F 	Dapedium	1.2142857143	5.2797457137	0	28				
15	F 	Mesturus	2.8571428571	13.2204091037	-14	14				
16	F 	Pachycormus	1.6666666667	7.279367547	-10	18				
17	F 	Macrepistius	1.8888888889	7.4428328418	8	36				
18	F 	Discoserra	1.5	6.0919139234	-20	8				
20	F 	Pteronisculus	1	4.8989794856	-24	4				
21	F 	Mesopoma	0.8571428571	3.4108860297	0	28				
22	F 	Luganoia	1.125	4.3443899481	-12	16				
23	F 	Dipteronotus	0.3333333333	1.5184055965	-22	6				
24	F 	Australosomus	2	6.8225404756	-24	4				
25	F 	Ebenaqua	1.6	5.9981167089	-8	20				
26	F 	Amphicentrum	0	0	-24	4				
27	F 	Peltopleurus	1.3571428571	5.6253369415	0	28				
28	F 	Pholidophorus	1.0714285714	4.6336096198	0	28				
1	R	Acipenser	0.9285714286	4.0803014795	0	28				
2	R	Lepisosteus	2.0408163265	8.0606628807	21	49				
3	R	Amia	2.1071428571	6.9044536774	28	56				
4	R	Elops	3	9.4358076101	14	42				
5	R	Hiodon	1.5555555556	5.7266230703	8	36				
19	R	Mimia	1.2	4.9307397825	-8	20				
