Order	Fossil/Recent	Taxa	RF	PD	Diff MPTs	MPTs	1	RF	PD	Diff MPTs
1	F 	*Eocarcinidae	2	9.9498743711	0	1	fossil	8.7156608098	32.4420959129	2.9090909091
3	F 	*Bucculentidae	2	8.2462112512	0	1	recent	8.3693877551	36.4701532633	1.0714285714
4	F 	*Goniodromitidae	2	8.2462112512	0	1				
5	F 	*Prosopidae	15.8	77.2667596816	9	10				
6	F 	*Tanidromitidae	4	10.3440804328	0	1				
7	F 	*Glaessneropsidae	11	41.6851465867	3	4				
8	F 	*Konidromitidae	4	10.3440804328	0	1				
9	F 	*Lecythocaridae	6	22.9564805665	0	1				
10	F 	*Longodromitidae	16	77.0783587757	5	6				
14	F 	*Diaulacidae	21	46.6636876133	1	2				
15	F 	*Xandaros	4	16.4620776332	0	1				
16	F 	*Basinotopus	20.2857142857	74.2932183885	6	7				
20	F 	*Mithracitidae	6	19.3939154797	1	2				
21	F 	*Etyidae	9.5	35.5949167948	3	4				
22	F 	*Dakoticancridae	6	20.591260282	0	1				
23	F 	*Ibericancridae	15.0588235294	53.3001523006	16	17				
26	F 	*Camarocarcinidae	2	9.9498743711	0	1				
27	F 	*Cenomanocarcinidae	4	17.0880074906	0	1				
28	F 	*Necrocarcinidae	4	17.0880074906	0	1				
29	F 	*Palaeocorystidae	7	21.0967141655	1	2				
33	F 	*Torynommidae	26.1	101.9449390998	19	20				
34	F 	*Goniochelidae	4	14.1421356237	0	1				
2	R	Homolodromiidae	17.6	69.7911060105	4	5				
11	R	Dromiidae	20.5714285714	98.767291909	6	7				
12	R	Dynomenidae	21	108.5952086865	1	2				
13	R	Sphaerodromiidae	18	81.5676677803	2	3				
17	R	Homolidae	5	15.0620576864	1	2				
18	R	Latreilliidae	2	9.9498743711	0	1				
19	R	Poupiniidae	5	18.0235333412	1	2				
24	R	Raninidae	6	20.591260282	0	1				
25	R	Symethidae	2	9.9498743711	0	1				
30	R	Cyclodorippidae	4	18	0	1				
31	R	Cymonomidae	4	18	0	1				
32	R	Phyllotymolinidae	4	14	0	1				
35	R	Carcinidae	4	14.1421356237	0	1				
36	R	Varunidae	4	14.1421356237	0	1				
