Order	Fossil/Recent	Taxa	RF	PD	Diff MPTs	MPTs	2	RF	PD	Diff MPTs
2	F 	FPalaeoxanthopsidae	2	15.0996688705	0	2	Fossil	7.6357142857	27.5769705803	5
3	F 	FTumidocarcinidae	10.4	33.3415618717	8	10	Recent	2.29225	12.5921572289	1.75
4	F 	FHarpactoxanthopsis	16.1428571429	46.7669827085	12	14				
33	F 	FCarinocarcinoides	2	15.0996688705	0	2				
1	R	Romaleon	2	12.1324101302	0	2				
5	R	Carpilius	6.75	23.2705941119	6	8				
6	R	Pilumnoides	4	18.537420938	0	2				
7	R	Leptodius	1	7.5498344353	0	2				
8	R	Etisus	1	7.5498344353	0	2				
9	R	Panopeus	2	11.2843751746	2	4				
10	R	Eucratopsis	1	7.5498344353	0	2				
11	R	Euphrosynoplax	1	7.5498344353	0	2				
12	R	Domecia	3.5	12.9750858933	2	4				
13	R	Trapezia	1	4.582575695	0	2				
14	R	Tetralia	3	17.9301041813	0	2				
15	R	Halimede	1	7.5498344353	0	2				
16	R	Pilumnus	1	7.5498344353	0	2				
17	R	Platyxanthus	3	22.7067020342	2	4				
18	R	Homalaspis	7.5	47.2915271934	2	4				
19	R	Pseudozius	0	0	0	2				
20	R	Eriphia	0	0	0	2				
21	R	Ozius	2	11.5646957168	0	2				
22	R	Epixanthus	2	11.5646957168	0	2				
23	R	Hypothalassia	1	7.5498344353	0	2				
24	R	Menippe	1	4.582575695	0	2				
25	R	Myomenippe	1	6.9821200219	0	2				
26	R	Dacryopilumnus	2	11.5646957168	0	2				
27	R	Progeryon	14.84	52.2986466866	48	50				
28	R	Mathildella	5.6	35.5895825651	3	5				
29	R	Eucrate	2.5	11.1230487138	2	4				
30	R	Heteroplax	1	7.5498344353	0	2				
31	R	Carcinoplax	1	7.5498344353	0	2				
32	R	Psopheticus	0	0	0	2				
34	R	Chasmocarcinus	1	4.582575695	0	2				
35	R	Trogloplax	1	4.582575695	0	2				
36	R	Hexapinus	1	7.5498344353	0	2				
37	R	Chaceon	0	0	-1	1				
38	R	Raymanninus	2.5	13.2363341177	2	4				
39	R	Carcinus	2	15.0996688705	0	2				
40	R	Nectocarcinus	2	15.0996688705	0	2				
41	R	Benthochascon	2	15.0996688705	0	2				
42	R	Bathynectes	2	15.0996688705	0	2				
43	R	Necora	3.5	14.3072587564	2	4				
44	R	Liocarcinus	2	15.0996688705	0	2				
