"Order"	"Fossil/Recent"	"Taxon"	"RF"	"PD"	"Diff MPTs"	"MPTs"	6	"RF"	"PD"	"Diff MPTs"
9	"F "	"Vastanavis_sp."	6.3666666667	21.872465152	54	60	"Fossil"	6.8872392361	18.232838632	39
10	"F "	"Quercypsitta_sudrei"	1	3.5355339059	0	6	"Recent"	3.8541666667	10.0769180204	2.8125
11	"F "	"Avolatavis_tenens"	5.5833333333	18.3717416385	18	24				
12	"F "	"Messelastur_gratulator"	10.2083333333	23.681052559	42	48				
13	"F "	"Pulchrapollia_gracilis"	1	3.5355339059	-4	2				
14	"F "	"Cyril_olsoni"	1	3.7712361663	0	6				
15	"F "	"Cyril_colburnorum"	15.8571428571	29.1834146292	8	14				
16	"F "	"Pseudasturides_macrocephalus"	9.1014492754	25.3995853367	132	138				
17	"F "	"Serudaptus_pohli"	8	22.184365821	-4	2				
18	"F "	"Psittacopes_lepidus"	11.6124031008	32.4134182737	123	129				
19	"F "	"London_Clay_Species_A"	6.0303030303	16.6128775639	60	66				
1	"R"	"Urocolius_macrourus"	11.4444444444	22.1934164881	12	18				
2	"R"	"Colius_striatus"	1	3.5355339059	0	6				
3	"R"	"Herpetotheres_cachinnans"	1	3.5355339059	0	6				
4	"R"	"Micrastur_semitorquatus"	1	3.5355339059	0	6				
5	"R"	"Falco_sparverius"	2.3333333333	9.3080162726	6	12				
6	"R"	"Acanthisitta_chloris"	14.5	30.2187584707	6	12				
7	"R"	"Tyrannus_tyrannus"	6	18.7278452194	18	24				
8	"R"	"Gracula_religiosa"	3.1666666667	11.466642373	6	12				
20	"R"	"Cacatua_sulphurea"	1	3.5355339059	0	6				
21	"R"	"Calyptorynchus_funereus"	1.3333333333	5.4839664438	-3	3				
22	"R"	"Amazona_farinosa"	1.3333333333	5.4839664438	-3	3				
23	"R"	"Cyanolliseus_patagonus"	0.6666666667	2.357022604	-3	3				
24	"R"	"Lorius_lory"	1	3.9204945239	0	6				
25	"R"	"Trichoglossus_haematodus"	1	3.9204945239	0	6				
26	"R"	"Melopsittacus_undulatus"	3.7777777778	12.6630006618	3	9				
27	"R"	"Nestor_meridionalis"	11.1111111111	21.3449286781	3	9				
										
										
										
										
										
						2				
						3				
						4				
						5				
						6				
						7				
						8				
						9				
						10				
						11				
						12				
						13				
						14				
						15				
						16				
						17				
						18				
						19				
						20				
						21				
						22				
						23				
						24				
						25				
						26				
						27				
						28				
