"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	1	"RF"	"PD"	"Diff MPTs"
1	"F "	"Fluvioviri"	"6"	"17.5166481891865"	1	2	"FOSSIL"	4.2976190476	14.8590992877	4.2976190476
2	"F "	"Masillapod"	"6"	"20"	0	1	"RECENT"	5.7692307692	18.2813135473	3.4615384615
6	"F "	"Prefica_ni"	"0"	"0"	0	1				
7	"F "	"Protocypse"	"4"	"19.6468827043885"	0	1				
9	"F "	"Nyctibius_"	"2"	"7.07106781186548"	0	1				
10	"F "	"Paraprefic"	"2"	"7.07106781186548"	0	1				
12	"F "	"Eo_rowei"	"4"	"13.2664991614216"	0	1				
13	"F "	"Eo_vincent"	"2"	"7.07106781186548"	0	1				
15	"F "	"Sca_wardi"	"7.5"	"21.8424026901377"	3	4				
16	"F "	"Sca_szarsk"	"4"	"15.2315462117278"	0	1				
21	"F "	"Parargorni"	"4"	"15.2315462117278"	0	1				
22	"F "	"Argornis_c"	"8.66666666666667"	"28.6481053346103"	2	3				
23	"F "	"Jungornis_"	"4"	"15.2315462117278"	0	1				
24	"F "	"Eurotrochi"	"6"	"20.1990098767242"	0	1				
3	"R"	"Podargus_s"	"6"	"20"	0	1				
4	"R"	"Batrachost"	"6"	"20.8806130178211"	0	1				
5	"R"	"Steatornis"	"6.66666666666667"	"17.3031834517093"	5	6				
8	"R"	"Caprimulgu"	"2"	"7.07106781186548"	0	1				
11	"R"	"Aegotheles"	"6"	"20"	0	1				
14	"R"	"Hemiprocne"	"15.3333333333333"	"43.2046238674182"	23	24				
17	"R"	"Streptopro"	"8"	"20.6355260781237"	3	4				
18	"R"	"Chaetura_p"	"7"	"14.8170345042803"	1	2				
19	"R"	"Aerodramus"	"2"	"13.490737563232"	0	1				
20	"R"	"Apus_apus"	"4"	"18.9208879284245"	0	1				
25	"R"	"Archilochu"	"2"	"8.48528137423857"	0	1				
26	"R"	"Amazilia_t"	"4"	"12.6491106406735"	0	1				
27	"R"	"Hirundapus"	"6"	"20.1990098767242"	0	1				
