"ORDER"	"FOSSIL/RECENT"	"TAXON"	"RF"	"PD"	"DIFF IN MPTS"	"MPTS"	4	"RF"	"PD"	"DIFMPTS"
1	"F "	"Waipatia"	2.4	6.1854948545	1	5	"FOSSIL"	4.5835132188	12.7146701343	2.8095238095
2	"F "	"Eurhinodelphis"	1	3.5355339059	-2	2	"RECENT"	7.0793650794	19.0180306765	22.5
3	"F "	"Schizodelphis"	2	7.0710678119	-3	1				
4	"F "	"Ziphiodelphis"	2	7.0710678119	-3	1				
5	"F "	"Squaloziphius"	2	6.0355339059	0	4				
6	"F "	"Xhosacetus"	2	7.0710678119	0	4				
7	"F "	"Pterocetus"	2	6.0355339059	0	4				
9	"F "	"Africanacetus"	1.5	6.0355339059	0	4				
10	"F "	"Ihlengesi"	3	8.2135126079	4	8				
14	"F "	"Izikoziphius"	8.3076923077	21.7439298277	9	13				
15	"F "	"Choneziphius"	13.0769230769	36.703713668	9	13				
16	"F "	"Tusciziphius"	2.5	6.767766953	0	4				
17	"F "	"Globicetus"	1.5	5	0	4				
18	"F "	"Imocetus"	1.5	5.3033008589	0	4				
19	"F "	"Microberardius"	6.1176470588	19.8695717951	13	17				
21	"F "	"Archaeoziphius"	2	6.0355339059	0	4				
22	"F "	"Nazcacetus"	7.8181818182	19.4817900586	7	11				
24	"F "	"Beneziphius"	1	3.5355339059	0	4				
25	"F "	"Ziphirostrum"	10.8333333333	23.0848237616	8	12				
26	"F "	"Messapicetus"	10	25.4113656778	0	4				
27	"F "	"Ninoziphius"	13.7	36.8163958864	16	20				
8	"R"	"Indopacetus"	2	6.767766953	0	4				
11	"R"	"Mesoplodon"	1.5	6.0355339059	0	4				
12	"R"	"Hyperoodon"	2.5	7.8033008589	0	4				
13	"R"	"Ziphius"	12.2857142857	31.553861047	101	105				
20	"R"	"Berardius"	13.7142857143	36.8789864682	17	21				
23	"R"	"Tasmacetus"	10.4761904762	25.0687348257	17	21				
										
										
										
						2				
						3				
						4				
						5				
						6				
						7				
						8				
						9				
						10				
						11				
						12				
						13				
						14				
						15				
						16				
						17				
						18				
						19				
						20				
						21				
						22				
						23				
						24				
						25				
						26				
						27				
						28				
