"Order"	"Fossil/Recent"	"Taxon"	"RF"	"PD"	"Diff MPTs"	"MPTs"				
1	"F "	"Delphinodon_dividum"	0	0	14	2	2	"RF"	"PD"	"Diff MPTs"
2	"F "	"Salumiphocaena"	4.125	10.3303771853	6	16	"Fossil"	3.9324074074	8.8589712274	4.8888888889
3	"F "	"Piscolithax_tedfordi"	9	14.9055099046	4	8	"Recent"	0.1666666667	0.5527707984	-0.8333333333
4	"F "	"Piscolithax_boreios"	2.6666666667	7.769339378	0	6				
5	"F "	"Piscolithax_longirostris"	4	11.2249721603	0	2				
6	"F "	"Lomacetus"	0	0	4	2				
7	"F "	"Australithax"	4	8.2715452338	8	6				
8	"F "	"Haborophocoena"	6.2	14.8159264031	8	10				
9	"F "	"Septemtriocetus"	5.4	12.4130707818	0	10				
10	"R"	"Phocoena_sinus"	0	0	-1	2				
11	"R"	"Phocoena_dioptrica"	0	0	-1	1				
12	"R"	"Phocoena_phocoena"	0	0	-1	1				
13	"R"	"Phocoenoides_dalli"	0	0	0	1				
14	"R"	"Neophocaena_phocaenoides"	1	3.3166247904	0	2				
15	"R"	"Phocoena_spinipinnis"	0	0	-2	2				
										
										
										
		2								
		3								
		4								
		5								
		6								
		7								
		8								
		9								
		10								
		11								
		12								
		13								
		14								
		15								
		16								
