"Order"	"Fossil/Recent"	"Taxon Pruned/Jackknifed"	"Mean RF"	"Mean PD"	"Diff MPTs"	"MPTs"	3	"mean RF"	"mean PD"	"mean diff MPTs"
9	"F"	"Flagellopantopus"	14.3333333333	70.9205474856	3	6	"Fossil"	7.3798185941	52.7939088642	0.387755102
10	"F"	"Haliestes"	6.6666666667	46.5352244483	0	3	"Recent"	8.0525525526	49.599390247	0.1621621622
11	"F"	"Palaeoisopus"	6	41.5097667931	0	3				
12	"F"	"Palaeopantopus"	9.3333333333	50.4953023206	0	3	"N="	98	74	
15	"F"	"Offacolus"	6	39.899062201	0	3				
16	"F"	"Weinbergina"	6	39.899062201	0	3	"max_impact"	"Sidneyia"	"Euperipatoides"	
17	"F"	"Alanops"	6	40.7375380372	0	3				
18	"F"	"Baltoeurypterus"	5.3333333333	36.9348924919	0	3				
19	"F"	"Pterygotus"	6	40.5172577113	0	3				
20	"F"	"Mixopterus"	6	40.4991401588	0	3				
21	"F"	"Megalograptus"	6	40.4991401588	0	3				
22	"F"	"Moselopterus"	6.6666666667	42.9734407598	0	3				
23	"F"	"Parastylonurus"	6	40.7375380372	0	3				
24	"F"	"Rhenopterus"	6	41.5097667931	0	3				
25	"F"	"Onychoterella_augusti"	5.3333333333	36.9348924919	0	3				
28	"F"	"Proscorpius"	6.3333333333	41.8306021123	3	6				
29	"F"	"Eoscorpius_carbonarius"	5.3333333333	39.8572317329	0	3				
30	"F"	"Pulmonoscorpius"	5.3333333333	39.8572317329	0	3				
31	"F"	"Compsoscorpius"	6	41.5278843456	0	3				
32	"F"	"Palaeophonus"	5.3333333333	39.8572317329	0	3				
43	"F"	"Gilboarachne"	6	37.2777309746	0	3				
44	"F"	"Palaeochrinus"	4.6666666667	35.2823574317	0	3				
45	"F"	"Eophrynus"	5.3333333333	37.2359005065	0	3				
46	"F"	"Anthracomartus"	5.3333333333	36.9348924919	0	3				
47	"F"	"Plesiosiro"	5.3333333333	36.9348924919	0	3				
48	"F"	"Mesotarbus"	12	84.3417071048	3	6				
101	"F"	"Aysheaia"	8	50.2692749102	-2	1				
102	"F"	"Megadictyon"	4	26.0768096208	-2	1				
103	"F"	"Jianshanopodia"	8	53.1319113151	-2	1				
104	"F"	"Kerygmachela"	4	31.874754901	-2	1				
105	"F"	"Pambdelurion"	8	46.6797600679	-2	1				
106	"F"	"Anomalocaris"	5.3333333333	37.4608979597	0	3				
107	"F"	"Hurdia"	6	40.0163273597	0	3				
108	"F"	"Opabinia"	4.6666666667	39.412415095	0	3				
109	"F"	"Fuxianhuia"	4	37.0557139718	0	3				
110	"F"	"Guangweicaris"	4	37.0557139718	0	3				
111	"F"	"Liangwangshania"	4.6666666667	38.1376355785	0	3				
112	"F"	"Chengjiangocaris"	4	38.1972641771	0	3				
113	"F"	"Branchiocaris"	6.6666666667	74.0751224811	0	3				
114	"F"	"Canadaspis"	14.6666666667	97.0847412589	0	3				
115	"F"	"Nereocaris"	8.2222222222	69.4406238158	6	9				
116	"F"	"Jugatacaris"	5.3333333333	42.6161909073	0	3				
117	"F"	"Pectocaris_spp"	4.6666666667	41.4443612621	0	3				
118	"F"	"Odaraia"	6	45.4536318536	0	3				
119	"F"	"Perspicaris"	7.1111111111	50.3029094658	6	9				
120	"F"	"Shankouia"	7.1111111111	48.1458234947	6	9				
121	"F"	"Stanley_Glacier"	4.6666666667	38.1376355785	0	3				
122	"F"	"Parapeytoia"	5.3333333333	41.6269962608	0	3				
123	"F"	"Fortiforceps"	12.4444444444	81.6059549265	6	9				
124	"F"	"Yohoia"	14	120.0546936362	0	3				
125	"F"	"Haikoucaris"	4.6666666667	38.1376355785	0	3				
126	"F"	"Alalcomenaeus"	7.3333333333	47.6764394492	0	3				
127	"F"	"Oestokerkus"	5.3333333333	39.5556506876	0	3				
128	"F"	"Leanchoilia_persephone"	5.3333333333	42.3464153542	0	3				
129	"F"	"Leanchoilia_illecebrosa"	5.3333333333	42.3464153542	0	3				
130	"F"	"Leanchoilia_superlata"	5.3333333333	42.3464153542	0	3				
131	"F"	"Molaria"	16.6666666667	104.5181019327	0	3				
132	"F"	"Emeraldella"	24.6666666667	158.2942326936	0	3				
133	"F"	"Sidneyia"	28.6666666667	147.1015648403	0	3				
134	"F"	"Neostrabops"	28	173.2642089529	0	3				
135	"F"	"Pseudoarthron"	24.6666666667	170.435487029	0	3				
136	"F"	"Cheloniellon"	13.3333333333	144.0165680366	0	3				
137	"F"	"Triopus"	5.3333333333	43.6339096748	0	3				
138	"F"	"Duslia"	5.3333333333	42.9187820332	0	3				
139	"F"	"Retifacies"	4	31.3787814551	0	3				
140	"F"	"Pygmaclypeatus"	5.3333333333	43.7704843151	0	3				
141	"F"	"Squamacula"	9	65.4810735515	3	6				
142	"F"	"Phytophilaspis"	8.6666666667	60.7453035231	0	3				
143	"F"	"Sinoburius"	9.3333333333	59.9746629374	0	3				
144	"F"	"Xanderella"	6.6666666667	46.4974911828	0	3				
145	"F"	"Cindarella"	4	36.276907886	0	3				
146	"F"	"Siriocaris"	10.6666666667	65.7062412388	0	3				
147	"F"	"Naraoia_compacta"	4.6666666667	33.9061727906	0	3				
148	"F"	"Naraoia_spinosa"	6	40.0163273597	0	3				
149	"F"	"Misszhouia"	6	40.0163273597	0	3				
150	"F"	"Kuamaia"	6	40.0163273597	0	3				
151	"F"	"Helmetia"	6	40.0163273597	0	3				
152	"F"	"Skioldia"	6	40.1069810231	0	3				
153	"F"	"Tegopelte"	6	40.1069810231	0	3				
154	"F"	"Saperion"	6	40.0344449121	0	3				
155	"F"	"Kangacaris"	5.3333333333	38.3637922995	0	3				
156	"F"	"Emucaris"	5.3333333333	38.3637922995	0	3				
157	"F"	"Buenaspis"	6.6666666667	45.3757439918	0	3				
158	"F"	"Tarricola"	6	40.0163273597	0	3				
159	"F"	"Soomaspis"	5.3333333333	38.3637922995	0	3				
160	"F"	"Liwia"	5.3333333333	38.3637922995	0	3				
161	"F"	"Eoredlichia"	4	34.1926534223	0	3				
162	"F"	"Olenoides"	5.3333333333	44.3074187462	0	3				
163	"F"	"Burgessia"	1.3333333333	16.1465410973	0	3				
164	"F"	"Vachonisia"	4.6666666667	38.1376355785	0	3				
165	"F"	"Xylokorys"	4.6666666667	38.1376355785	0	3				
166	"F"	"Marrella"	4.6666666667	37.2711890922	0	3				
167	"F"	"Mimetaster"	4.6666666667	38.1376355785	0	3				
168	"F"	"Furca"	4.6666666667	38.1376355785	0	3				
169	"F"	"Agnostus"	14	154.8755404988	0	3				
170	"F"	"Martinssonia"	6	44.2477901475	0	3				
171	"F"	"Skara"	6	44.2477901475	0	3				
172	"F"	"Yicaris"	15.3333333333	99.5763018102	12	15				
1	"R"	"Priapulida"	8	46.967578061	0	3				
2	"R"	"Hypsibius"	8	46.967578061	0	3				
3	"R"	"Milnesium"	6	39.9582788654	0	3				
4	"R"	"Euperipatoides"	27.5555555556	226.4561983951	6	9				
5	"R"	"Peripatidae"	6	33.5662609899	0	3				
6	"R"	"Endeis"	7.3333333333	46.9793894743	0	3				
7	"R"	"Colossendeis"	6.6666666667	45.750580144	0	3				
8	"R"	"Ammotheidae"	6.6666666667	45.750580144	0	3				
13	"R"	"Limulus"	6	41.9603501471	0	3				
14	"R"	"Carcinoscorpius"	6.6666666667	45.524597814	0	3				
26	"R"	"Buthidae"	5.3333333333	39.8572317329	0	3				
27	"R"	"Scorpionidae"	6	41.5097667931	0	3				
33	"R"	"Mastigoproctus"	5.3333333333	37.9455191261	0	3				
34	"R"	"Mygalomorphae"	7.3333333333	44.8876249552	0	3				
35	"R"	"Liphistius"	6.6666666667	40.1618116985	0	3				
36	"R"	"Cupienius"	7.3333333333	46.3468175611	0	3				
37	"R"	"Attercopus"	6	40.7375380372	0	3				
38	"R"	"Stenochrus"	6	40.5172577113	0	3				
39	"R"	"Prokoenenia"	14	111.8347592349	0	3				
40	"R"	"Idiogaryos"	9	82.5745667209	3	6				
41	"R"	"Eremocosta"	6	40.4991401588	0	3				
42	"R"	"Cryptocellus"	8	54.2055843969	3	6				
49	"R"	"Phrynus"	6	40.4991401588	0	3				
50	"R"	"Opilioacarus"	3.3333333333	28.4447811958	0	3				
51	"R"	"Scutigera"	5.3333333333	36.9348924919	0	3				
52	"R"	"Lithobius"	6.6666666667	39.8377349487	0	3				
53	"R"	"Craterostigmus"	6	39.7269114029	0	3				
54	"R"	"Scolopendra"	6	39.7269114029	0	3				
55	"R"	"Mecistocephalus"	6	39.7269114029	0	3				
56	"R"	"Geophilidae"	6.6666666667	42.593927733	0	3				
57	"R"	"Hanseniella"	6.6666666667	41.9539318191	0	3				
58	"R"	"Scutigerella"	6	37.0638335902	0	3				
59	"R"	"Pauropodinae"	13.3333333333	54.7017069728	0	3				
60	"R"	"Polyxenus"	5.3333333333	36.9348924919	0	3				
61	"R"	"Glomeris"	6	39.7269114029	0	3				
62	"R"	"Proteroiulus"	6	39.7269114029	0	3				
63	"R"	"Narceus"	7.3333333333	45.7654596708	0	3				
64	"R"	"Acerentomidae"	6	37.5854270321	0	3				
65	"R"	"Tomocerus"	18	101.9716893252	0	3				
66	"R"	"Sminthurinus"	5.3333333333	36.9348924919	0	3				
67	"R"	"Campodeidae"	6	40.4991401588	0	3				
68	"R"	"Japygidae"	5.3333333333	36.9348924919	0	3				
69	"R"	"Meinertellidae"	5.3333333333	36.9348924919	0	3				
70	"R"	"Machilidae"	6.6666666667	41.9539318191	0	3				
71	"R"	"Tricholepidion"	5.3333333333	36.9348924919	0	3				
72	"R"	"Lepismatidae"	5.3333333333	36.9348924919	0	3				
73	"R"	"Callibaetis"	7.3333333333	44.8335936683	0	3				
74	"R"	"Periplaneta"	6.6666666667	36.6136396898	0	3				
75	"R"	"Locusta"	5.3333333333	36.9348924919	0	3				
76	"R"	"Drosophila"	8	47.8821601066	0	3				
77	"R"	"Remipedia"	16.6666666667	79.628578547	0	3				
78	"R"	"Hutchinsoniella"	15.3333333333	100.204778549	0	3				
79	"R"	"Artemia"	7.3333333333	43.8697183435	0	3				
80	"R"	"Branchinella"	6.6666666667	42.9734407598	0	3				
81	"R"	"Triops"	7.3333333333	42.0398765395	0	3				
82	"R"	"Lynceus"	10.6666666667	66.4942939076	0	3				
83	"R"	"Limnadia"	6	44.2957884838	0	3				
84	"R"	"Limnadopsis"	6.6666666667	40.1843056848	0	3				
85	"R"	"Cyclestheria"	6	39.0543857418	0	3				
86	"R"	"Daphnia"	5.3333333333	35.4901380748	0	3				
87	"R"	"Leptodora"	6	37.0638335902	0	3				
88	"R"	"Calanoida"	21.3333333333	79.8716163359	0	3				
89	"R"	"Balanus"	14	74.5363883011	0	3				
90	"R"	"Cypridopsis"	4	27.1132679381	0	3				
91	"R"	"Argulus"	26	104.6689766891	0	3				
92	"R"	"Railietiella"	16	93.8030873222	0	3				
93	"R"	"Nebalia"	7.3333333333	42.0990705712	0	3				
94	"R"	"Paranebalia"	6.6666666667	39.017376665	0	3				
95	"R"	"Stomatopoda"	6	33.0655896767	0	3				
96	"R"	"Anaspides"	4	27.1132679381	0	3				
97	"R"	"Orchestia"	5.3333333333	31.4114247128	0	3				
98	"R"	"Oniscidea"	16.6666666667	63.8353852783	0	3				
99	"R"	"Meganyctiphanes"	4.6666666667	29.6591748402	0	3				
100	"R"	"Homarus"	6.6666666667	35.5883087255	0	3				
