"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	8	"RF"	"PD"	"Diff MPTs"
5	"F "	"Polyglyphanodon"	2	15.1657508881	-4	4	"fossil"	2.6	7.9224145132	0.6
6	"F "	"Macrocephalosaurus"	14	19.1311264697	8	16	"recent"	2.1855072464	7.214948245	2.7826086957
12	"F "	"Sineoamphisbaena"	0.6666666667	5.055250296	4	12				
26	"F "	"Aigialosauridae"	1.3333333333	5.6960024969	4	12				
27	"F "	"Mosasauridae"	1.3333333333	5.6960024969	4	12				
28	"F "	"Dolichosauridae"	1.3333333333	5.6960024969	-2	6				
29	"F "	"Adriosaurus"	1.3333333333	5.6960024969	-2	6				
30	"F "	"Pachyrhachis"	1.3333333333	5.6960024969	-2	6				
31	"F "	"Haasiophis"	1.3333333333	5.6960024969	-2	6				
33	"F "	"Xianglong"	1.3333333333	5.6960024969	-2	6				
1	"R"	"Iguanidae"	1.6	8.5087703227	12	20				
2	"R"	"Leiolepidinae"	1.3333333333	5.6960024969	4	12				
3	"R"	"Agaminae"	1.3333333333	5.6960024969	4	12				
4	"R"	"Chamaeleonidae"	1.3333333333	5.6960024969	-2	6				
7	"R"	"Xantusiidae"	4	16.6733320005	-4	4				
8	"R"	"Eublepharinae"	1.3333333333	5.5577773335	4	12				
9	"R"	"Gekkonines_s.l."	1.3333333333	5.5577773335	4	12				
10	"R"	"Diplodactylinae"	0	0	0	8				
11	"R"	"Pygopodidae"	0	0	0	8				
13	"R"	"Dibamidae"	21	34.9699085705	24	32				
14	"R"	"Amphisbaenia"	1.3333333333	5.5577773335	4	12				
15	"R"	"Lacertidae"	1	7.3484692283	0	8				
16	"R"	"Teiidae"	0	0	-4	4				
17	"R"	"Gymnophthalmidae"	2	10.5699663023	16	24				
18	"R"	"Cordylidae"	2	8.5440037453	0	8				
19	"R"	"Scincidae"	0	0	-4	4				
20	"R"	"Anguidae"	4	17.0880074906	-4	4				
21	"R"	"Xenosaurus"	1.3333333333	5.6960024969	4	12				
22	"R"	"Shinisaurus"	0	0	-4	4				
23	"R"	"Heloderma"	1.3333333333	5.6960024969	4	12				
24	"R"	"Lanthanotus"	1.3333333333	5.6960024969	4	12				
25	"R"	"Varanus"	1.3333333333	5.6960024969	4	12				
32	"R"	"Serpentes"	1.3333333333	5.6960024969	-2	6				
