	"V1"	"V2"
"Rzsumatrensis"	4.4545454545	14.2399110398
"Rzsinensis"	4.4545454545	14.2399110398
"Rzpruinosus"	4.4545454545	14.2399110398
"R.Bansius"	15.4385026738	31.1134537333
"R.Bajius"	4.4242424242	13.8345085501
"Cannomys_badius"	5.7575757576	16.2341404258
"MioRznagrii"	22.5454545455	66.9962234841
"MioRzmicrus"	6.5454545455	19.5467349278
"MioRzblacki"	18.3867768595	49.0360468029
"MioRzpilgrimi"	11.3236363636	33.8892814258
"MioRzharii"	5.404040404	15.7675464007
"MioRztetracharax"	16.7925407925	45.3843330223
"MioRzchoristos"	8.4848484848	23.7832132436
"Protachyoryctes_tatroti"	20.4141414141	55.9857532035
"Tachyoryctes_makooka"	12.8892371996	35.2072520117
"T.pliocaenicus"	5.0303030303	15.2669819785
"T.macrocephalus"	4.2803030303	13.9650375233
"Tachyoryctes_splendens"	3.9015151515	13.415176059
"Rssivalensis"	20.0165289256	54.9308733104
"Miorh.punjabiensis"	15.5041908446	35.7635968882
"Rscarbonnelli"	17.2323232323	46.7461024667
"Rsplaytomeus"	5.6060606061	15.432412527
"Tachyoryctes_konjiti"	4.4545454545	13.6596702523
"Kaindicus"	6.75	18.5810461203
"Kanagrii"	4.8863636364	14.8385853356
"Kasivalensis"	6.3920454545	18.6748417229
"Kapotwarensis"	5.46875	15.2553879435
"Eicooryctes_kaulialensis"	11.4141414141	22.7402368107
"AnepsiRzopdykei"	12.9343434343	35.2481794539
"Anepsirhizom.pinjoricus"	27.4025974026	66.993077864
"Pronakalimys_andrewsi"	6.1875	17.0766556031
"Nakalimys_lavocati"	5.9	16.7818453391
"ProKakowalskii"	3.9166666667	13.5254290289
"ProKaarifi"	4	13.9396105305
"ProKabenjavuni"	3.7205882353	13.3080026912
"ProKamajor"	4.5	13.9844730973
"ProKaJebelZelten"	4.1195652174	13.5810047791
"Rsmirzadi"	5.5833333333	15.8570319417
		
		
		
	2	"Rzsumatrensis"
	3	"Rzsinensis"
	4	"Rzpruinosus"
	5	"R.Bansius"
	6	"R.Bajius"
	7	"Cannomys_badius"
	8	"MioRznagrii"
	9	"MioRzmicrus"
	10	"MioRzblacki"
	11	"MioRzpilgrimi"
	12	"MioRzharii"
	13	"MioRztetracharax"
	14	"MioRzchoristos"
	15	"Protachyoryctes_tatroti"
	16	"Tachyoryctes_makooka"
	17	"T.pliocaenicus"
	18	"T.macrocephalus"
	19	"Tachyoryctes_splendens"
	20	"Rssivalensis"
	21	"Miorh.punjabiensis"
	22	"Rscarbonnelli"
	23	"Rsplaytomeus"
	24	"Tachyoryctes_konjiti"
	25	"Kaindicus"
	26	"Kanagrii"
	27	"Kasivalensis"
	28	"Kapotwarensis"
	29	"Eicooryctes_kaulialensis"
	30	"AnepsiRzopdykei"
	31	"Anepsirhizom.pinjoricus"
	32	"Pronakalimys_andrewsi"
	33	"Nakalimys_lavocati"
	34	"ProKakowalskii"
	35	"ProKaarifi"
	36	"ProKabenjavuni"
	37	"ProKamajor"
	38	"ProKaJebelZelten"
	39	"Rsmirzadi"
