"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	264	"RF"	"PD"	"Diff MPTs"
4	"F "	"R.Bansius"	15.4385026738	31.1134537333	858	1122	"fossil"	10.1146475811	27.5852935153	216.25
5	"F "	"R.Bajius"	4.4242424242	13.8345085501	-198	66	"recent"	4.5505050505	14.3890145213	0
7	"F "	"MioRznagrii"	22.5454545455	66.9962234841	429	693				
8	"F "	"MioRzmicrus"	6.5454545455	19.5467349278	-132	132				
9	"F "	"MioRzblacki"	18.3867768595	49.0360468029	1551	1815				
10	"F "	"MioRzpilgrimi"	11.3236363636	33.8892814258	561	825				
11	"F "	"MioRzharii"	5.404040404	15.7675464007	-66	198				
12	"F "	"MioRztetracharax"	16.7925407925	45.3843330223	594	858				
13	"F "	"MioRzchoristos"	8.4848484848	23.7832132436	132	396				
14	"F "	"Protachyoryctes_tatroti"	20.4141414141	55.9857532035	-66	198				
15	"F "	"Tachyoryctes_makooka"	12.8892371996	35.2072520117	1650	1914				
16	"F "	"T.pliocaenicus"	5.0303030303	15.2669819785	-132	132				
19	"F "	"Rssivalensis"	20.0165289256	54.9308733104	825	1089				
20	"F "	"Miorh.punjabiensis"	15.5041908446	35.7635968882	2838	3102				
21	"F "	"Rscarbonnelli"	17.2323232323	46.7461024667	132	396				
22	"F "	"Rsplaytomeus"	5.6060606061	15.432412527	-66	198				
23	"F "	"Tachyoryctes_konjiti"	4.4545454545	13.6596702523	-132	132				
24	"F "	"Kaindicus"	6.75	18.5810461203	-216	48				
25	"F "	"Kanagrii"	4.8863636364	14.8385853356	-176	88				
26	"F "	"Kasivalensis"	6.3920454545	18.6748417229	88	352				
27	"F "	"Kapotwarensis"	5.46875	15.2553879435	-136	128				
28	"F "	"Eicooryctes_kaulialensis"	11.4141414141	22.7402368107	-165	99				
29	"F "	"AnepsiRzopdykei"	12.9343434343	35.2481794539	132	396				
30	"F "	"Anepsirhizom.pinjoricus"	27.4025974026	66.993077864	-33	231				
31	"F "	"Pronakalimys_andrewsi"	6.1875	17.0766556031	-232	32				
32	"F "	"Nakalimys_lavocati"	5.9	16.7818453391	-224	40				
33	"F "	"ProKakowalskii"	3.9166666667	13.5254290289	-216	48				
34	"F "	"ProKaarifi"	4	13.9396105305	-240	24				
35	"F "	"ProKabenjavuni"	3.7205882353	13.3080026912	-128	136				
36	"F "	"ProKamajor"	4.5	13.9844730973	-232	32				
37	"F "	"ProKaJebelZelten"	4.1195652174	13.5810047791	-80	184				
38	"F "	"Rsmirzadi"	5.5833333333	15.8570319417	0	264				
1	"R"	"Rzsumatrensis"	4.4545454545	14.2399110398	0	264				
2	"R"	"Rzsinensis"	4.4545454545	14.2399110398	0	264				
3	"R"	"Rzpruinosus"	4.4545454545	14.2399110398	0	264				
6	"R"	"Cannomys_badius"	5.7575757576	16.2341404258	0	264				
17	"R"	"T.macrocephalus"	4.2803030303	13.9650375233	0	264				
18	"R"	"Tachyoryctes_splendens"	3.9015151515	13.415176059	0	264				
