"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	6	"RF"	"PD"	"Diff MPTs"
11	"F "	"Acristatherium"	13.3333333333	94.9573815727	-3	3	"fossil"	8.3600509572	37.7828044401	14.4915254237
53	"F "	"Adapis"	3	17.2728303989	0	6	"recent"	18.9599803705	71.3960065827	18.0909090909
17	"F "	"Alostera"	17.9545454545	65.3191067254	38	44				
36	"F "	"Alymlestes"	1.3333333333	9.0969382186	0	6				
31	"F "	"Asioryctes"	2.6666666667	17.5383311112	0	6				
22	"F "	"Aspanlestes"	2	11.5829790402	0	6				
19	"F "	"Avitotherium"	2.3333333333	14.2723447875	0	6				
38	"F "	"Barunlestes"	2.3333333333	16.1045323623	0	6				
26	"F "	"Batodon"	3.75	21.1471791633	2	8				
12	"F "	"Bobolestes"	3	17.2276783216	-2	4				
27	"F "	"Bulaklestes"	3.6666666667	18.564528081	0	6				
24	"F "	"Cimolestes"	14.3888888889	69.7653951237	30	36				
28	"F "	"Daulestes"	2.6666666667	12.9787518729	0	6				
33	"F "	"Deccanolestes"	2.6666666667	18.2938247792	0	6				
4	"F "	"Deltatheridium"	14.5263157895	59.9691994434	32	38				
46	"F "	"Diacodexis"	10.3636363636	58.9884482584	60	66				
7	"F "	"Eomaia"	17.6666666667	87.5458199868	0	6				
62	"F "	"Eoryctes"	9.9230769231	52.698746137	46	52				
15	"F "	"Eozhelestes"	3.2222222222	17.0042468099	12	18				
20	"F "	"Gallolestes"	25.5	67.2429702602	-2	4				
57	"F "	"Gomphos"	13.7606837607	67.5989799662	111	117				
39	"F "	"Gypsonictops"	4.3333333333	19.2958100633	6	12				
47	"F "	"Hyopsodus"	2.6666666667	14.1173160523	0	6				
10	"F "	"Juramaia"	9.0909090909	47.3588973976	5	11				
30	"F "	"Kennalestes"	5.3333333333	27.8602244556	0	6				
3	"F "	"Kielantherium"	2.3333333333	11.6392822704	0	6				
34	"F "	"Kulbeckia"	21.5555555556	56.9395767285	3	9				
18	"F "	"Lainodon"	1.6666666667	10.1375103396	0	6				
40	"F "	"Leptictis"	14.1111111111	69.0285021049	30	36				
25	"F "	"Maelestes"	5.2	34.8536948937	14	20				
5	"F "	"Mayulestes"	3	14.4964203276	0	6				
48	"F "	"Meniscotherium"	18.5	70.4674952662	126	132				
45	"F "	"Miacis"	2	11.3284260623	0	6				
58	"F "	"Mimotona"	11.2121212121	57.9031486362	27	33				
67	"F "	"Moeritherium"	24.3333333333	96.7026514501	0	6				
13	"F "	"Montanalestes"	1	8.2462112512	-4	2				
9	"F "	"Murtoilestes"	2	14.0771631461	-2	4				
52	"F "	"Northarctus"	2	10.5233396102	0	6				
43	"F "	"Oxyprimus"	3.3333333333	17.8832256492	0	6				
55	"F "	"Paramys"	2.6666666667	15.410908967	0	6				
14	"F "	"Paranyctoides"	4.2666666667	22.2939373237	9	15				
21	"F "	"Parazhelestes"	8.5714285714	33.528493434	1	7				
1	"F "	"Peramus"	1.6666666667	9.424928337	0	6				
49	"F "	"Phenacodus"	3.3333333333	18.2882577367	0	6				
51	"F "	"Plesiadapis"	21.3333333333	79.3051020752	30	36				
8	"F "	"Prokennalestes"	5	21.6688256597	-4	2				
42	"F "	"Protungulatum"	10.9428571429	57.9270946509	64	70				
6	"F "	"Pucadelphys"	1.6666666667	10.9425967917	0	6				
41	"F "	"Purgatorius"	22.064516129	80.5668438256	25	31				
56	"F "	"Rhombomylus"	7.8888888889	42.3703824231	12	18				
16	"F "	"Sheikhdzheilia"	11.3846153846	38.3482887234	7	13				
54	"F "	"Tribosphenomys"	19.5294117647	68.3277597505	11	17				
29	"F "	"Uchkudukodon"	14.12	70.0385407923	94	100				
32	"F "	"Ukhaatherium"	10.6933333333	59.2919894477	69	75				
2	"F "	"Vincelestes"	18.6666666667	76.564659695	3	9				
44	"F "	"Vulpavus"	16.8888888889	58.0778305582	3	9				
37	"F "	"Zalambdalestes"	2.5	20.2076362626	2	8				
35	"F "	"Zhangolestes"	3	19.232968527	0	6				
23	"F "	"Zhelestes"	3.3333333333	19.3393088606	0	6				
59	"R"	"Blarina"	13.1282051282	56.9896194272	33	39				
69	"R"	"Bradypus"	2.6666666667	17.1837252053	0	6				
68	"R"	"Chaetophractus"	27.6666666667	97.1663596913	6	12				
60	"R"	"Erinaceus"	31.7777777778	99.664992083	3	9				
64	"R"	"Orycteropus"	3	15.5000141606	0	6				
63	"R"	"Potamogale"	18.8	60.1220613584	54	60				
66	"R"	"Procavia"	30.6666666667	99.4305012535	30	36				
50	"R"	"Ptilocercus"	16.6315789474	84.9304130363	13	19				
65	"R"	"Rhynchocyon"	24.3333333333	98.2063013861	0	6				
61	"R"	"Solenodon"	21.7777777778	85.3367705331	48	54				
70	"R"	"Tamandua"	18.1111111111	70.8253142747	12	18				
										
	59									
