"Order"	"Fossil/Recent"	"Taxon"	"RF"	"PD"	"Diff MPTs"	"MPTs"	18	"RF"	"PD"	"Diff MPTs"
9	"F "	"Cruciptera_schaarsc"	2.8571428571	9.2146046197	-11	7	"fossil"	6.8714285714	16.9443949112	-10
20	"F "	"Palaeooreomunnea_stoneana"	4	14.5155879185	-15	3	"recent"	4.0448431544	11.040160825	2.7142857143
21	"F "	"Palaeoplatycarya"	4.1666666667	10.861770296	-6	12				
22	"F "	"Platzcarya_americana"	9.3333333333	21.2040461205	-15	3				
24	"F "	"Polyptera_manningii"	14	28.9259656011	-3	15				
1	"R"	"Alf_costaricensis"	4	10.9949651368	-6	12				
2	"R"	"Alf_guanacastensis"	4	10.9949651368	-6	12				
3	"R"	"Alf_manningii"	2.6666666667	9.0418961921	-15	3				
4	"R"	"Annamocarya_sinensis"	4.7619047619	11.506913497	3	21				
5	"R"	"Carya_cordiformis"	2.1904761905	7.2290766724	3	21				
6	"R"	"Carya_glabra"	5.5510204082	14.012512902	31	49				
7	"R"	"Carya_illinoinensis"	2.4761904762	8.1252226111	3	21				
8	"R"	"Carya_tonkinensis"	5.8113207547	14.1184188635	35	53				
10	"R"	"Cyclocarya_paliurus"	5.6666666667	12.6334209081	0	18				
11	"R"	"Engel_roxburghiana_A"	1.5555555556	5.967432463	-9	9				
12	"R"	"Engel_serrata"	6.2380952381	14.8036981936	24	42				
13	"R"	"Engel_spicata_A"	3.5	8.787870436	-6	12				
14	"R"	"Juglan_cinerea"	3.5238095238	9.9138052575	3	21				
15	"R"	"Juglan_mandschurica"	3.619047619	10.6486479704	3	21				
16	"R"	"Juglan_microcarpa"	3.1428571429	8.8751571793	3	21				
17	"R"	"Juglan_regia"	4.6666666667	12.794131074	9	27				
18	"R"	"Oreomunnea_mexicana_A"	3.1666666667	8.4471163767	-6	12				
19	"R"	"Oreomua_pterocarpa_A"	3.1666666667	8.4471163767	-6	12				
23	"R"	"Platycarya_strobilacea"	7.3333333333	22.879538347	-12	6				
25	"R"	"Pterucarya_macroptera"	3.9047619048	10.6040118153	3	21				
26	"R"	"Pterocarya_stenopteraA"	4	11.017459915	3	21				
