	"V1"	"V2"	"V3"
"meantablerf"	"Galliformes"	0.5	1.4142135624
	"Trogonidae"	5.4186046512	13.2131243815
	"Coraciidae"	1.1666666667	3.2998316455
	"Podargidae"	0.6666666667	1.8856180832
	"Steatornithidae"	4.3050847458	11.0189370575
	"Protocypselomorphus"	0	0
	"Nyctibiidae"	1	2.8284271247
	"Caprimulgidae"	5.027027027	12.1990026206
	"Aegothelidae"	2	6.5090923848
	"Eocypselidae"	0	0
	"Aegialornithidae"	0.6666666667	1.8856180832
	"Argornis"	0	0
	"Jungornis"	1	4.472135955
	"Trochilidae"	0.5	1.4142135624
	"Hemiprocnidae"	1	3.3541019662
	"Scaniacypselus"	0.1666666667	0.6236095645
	"Cypseloidinae"	0	0
	"Apodinae"	0	0
			
			
			
	2		
	3		
	4		
	5		
	6		
	7		
	8		
	9		
	10		
	11		
	12		
	13		
	14		
	15		
	16		
	17		
	18		
	19		
