"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff in MPTs"	"MPTs"	2	"RF"	"PD"	"Diff in MPTs"
1	"F "	"Hesperornis_fossil"	8.5	20.3300528735	2	4	"fossil"	3.1	8.8411722365	2.2
2	"F "	"Ichthyornis_fossil"	1	3.3166247904	2	4	"recent"	4.2291988713	9.9851683247	1.6842105263
22	"F "	"Pelagornithidae_fossil"	4	13.2739317619	3	5				
23	"F "	"Dromornithidae_fossil"	1	3.9686269666	2	4				
24	"F "	"Sylviornithidae_fossil"	1	3.3166247904	2	4				
3	"R"	"Rheidae"	0	0	-1	1				
4	"R"	"Apterygidae"	0	0	0	2				
5	"R"	"Tinamidae"	0	0	-1	1				
6	"R"	"Galliformes"	3	12.6984097662	0	2				
7	"R"	"Anhimidae"	0	0	0	2				
8	"R"	"Anatidae"	0.6666666667	3.9440531887	1	3				
9	"R"	"Threskiornithidae"	7	14.5749923389	2	4				
10	"R"	"Phaethontidae"	16.8	45.5618430952	3	5				
11	"R"	"Fregatidae"	16	36.7151195014	2	4				
12	"R"	"Phalacrocoracidae"	0	0	0	2				
13	"R"	"Anhingidae"	0	0	0	2				
14	"R"	"Sulidae"	0	0	0	2				
15	"R"	"Pelecanidae"	0	0	0	2				
16	"R"	"Scopidae"	14.6153846154	30.4504815774	11	13				
17	"R"	"Balaenicipitidae"	19.2727272727	35.7634070324	9	11				
18	"R"	"Ardeidae"	1	3.3166247904	2	4				
19	"R"	"Ciconiidae"	2	6.6932668786	4	6				
20	"R"	"Procellariidae"	0	0	0	2				
21	"R"	"Diomedeidae"	0	0	0	2				
