	"V1"	"V2"	"V3"
"meantablerf"	"Anseriformes"	27.744966443	59.649597616
	"Opisthocomidae"	9.0833333333	28.4267139192
	"Falconidae"	0.9523809524	3.5867090951
	"Accipitridae"	1.2380952381	4.8009271252
	"StrigidaeTytonidae"	30.7468493151	74.4146712217
	"Sagittariidae"	27.0936073059	50.4935209922
	"Cathartidae"	29.302	73.2223342565
	"Psittacidae"	23.3527054108	53.4033676113
	"Cuculidae"	1.619047619	6.2699263421
	"Musophagidae"	7.8571428571	27.1314007404
	"Coliidae"	27.5818181818	59.2384379525
	"Leptosomidae"	30.099749059	73.5676804414
	"Alcedinidae"	0.9523809524	5.4345328301
	"Meropidae"	25.1675126904	69.8690602175
	"TodidaeMomotidae"	0.2857142857	1.2784606588
	"CoraciidaeBrachypt."	30.2642857143	78.709484979
	"Steatornithidae"	2.6666666667	9.4987898601
	"Podargidae"	9.2972972973	23.5272630489
	"Caprimulgidae"	28.947845805	70.9854431847
	"Nyctibiidae"	29.8012048193	71.3305623853
	"Aegothelidae"	2.0952380952	12.3348373347
	"ApodidaeHemiproc."	1.5238095238	5.7538895203
	"Trochilidae"	1.619047619	5.9349123721
	"UpupidaePhoenicul."	29.7401812689	73.0539981487
	"Bucerotidae"	33.5662650602	62.0574966447
	"Passeriformes"	30.6742424242	79.0763596637
	"Pici"	33.5603399433	78.8928353027
	"Galbulae"	31.9452054795	59.5887849517
	"Trogonidae"	30.9333333333	64.5990655406
	"Quercypsittidae"	3.1111111111	12.8674512472
	"Halcyornithidae"	27.6670358066	72.3581788881
	"Sandcoleidae"	12.2965779468	26.0188920036
	"Vastanavis"	30.7649635036	73.0534422857
			
			
	2	"Anseriformes"	
	3	"Opisthocomidae"	
	4	"Falconidae"	
	5	"Accipitridae"	
	6	"StrigidaeTytonidae"	
	7	"Sagittariidae"	
	8	"Cathartidae"	
	9	"Psittacidae"	
	10	"Cuculidae"	
	11	"Musophagidae"	
	12	"Coliidae"	
	13	"Leptosomidae"	
	14	"Alcedinidae"	
	15	"Meropidae"	
	16	"TodidaeMomotidae"	
	17	"CoraciidaeBrachypt."	
	18	"Steatornithidae"	
	19	"Podargidae"	
	20	"Caprimulgidae"	
	21	"Nyctibiidae"	
	22	"Aegothelidae"	
	23	"ApodidaeHemiproc."	
	24	"Trochilidae"	
	25	"UpupidaePhoenicul."	
	26	"Bucerotidae"	
	27	"Passeriformes"	
	28	"Pici"	
	29	"Galbulae"	
	30	"Trogonidae"	
	31	"Quercypsittidae"	
	32	"Halcyornithidae"	
	33	"Sandcoleidae"	
	34	"Vastanavis"	
