"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	21	"RF"	"PD"	"Diff MPTs"
1	"R"	"Anseriformes"	27.744966443	59.649597616	128	149	"fossil"			
2	"R"	"Opisthocomidae"	9.0833333333	28.4267139192	3	24	"recent"			
3	"R"	"Falconidae"	0.9523809524	3.5867090951	0	21				
4	"R"	"Accipitridae"	1.2380952381	4.8009271252	0	21				
5	"R"	"StrigidaeTytonidae"	30.7468493151	74.4146712217	3629	3650				
6	"R"	"Sagittariidae"	27.0936073059	50.4935209922	855	876				
7	"R"	"Cathartidae"	29.302	73.2223342565	4979	5000				
8	"R"	"Psittacidae"	23.3527054108	53.4033676113	977	998				
9	"R"	"Cuculidae"	1.619047619	6.2699263421	0	21				
10	"R"	"Musophagidae"	7.8571428571	27.1314007404	7	28				
11	"R"	"Coliidae"	27.5818181818	59.2384379525	89	110				
12	"R"	"Leptosomidae"	30.099749059	73.5676804414	3167	3188				
13	"R"	"Alcedinidae"	0.9523809524	5.4345328301	0	21				
14	"R"	"Meropidae"	25.1675126904	69.8690602175	176	197				
15	"R"	"TodidaeMomotidae"	0.2857142857	1.2784606588	0	21				
16	"R"	"CoraciidaeBrachypt."	30.2642857143	78.709484979	259	280				
17	"R"	"Steatornithidae"	2.6666666667	9.4987898601	-18	3				
18	"R"	"Podargidae"	9.2972972973	23.5272630489	16	37				
19	"R"	"Caprimulgidae"	28.947845805	70.9854431847	420	441				
20	"R"	"Nyctibiidae"	29.8012048193	71.3305623853	311	332				
21	"R"	"Aegothelidae"	2.0952380952	12.3348373347	0	21				
22	"R"	"ApodidaeHemiproc."	1.5238095238	5.7538895203	0	21				
23	"R"	"Trochilidae"	1.619047619	5.9349123721	0	21				
24	"R"	"UpupidaePhoenicul."	29.7401812689	73.0539981487	641	662				
25	"R"	"Bucerotidae"	33.5662650602	62.0574966447	311	332				
26	"R"	"Passeriformes"	30.6742424242	79.0763596637	507	528				
27	"R"	"Pici"	33.5603399433	78.8928353027	1744	1765				
28	"R"	"Galbulae"	31.9452054795	59.5887849517	52	73				
29	"R"	"Trogonidae"	30.9333333333	64.5990655406	429	450				
30	"F "	"Quercypsittidae"	3.1111111111	12.8674512472	-12	9				
31	"F "	"Halcyornithidae"	27.6670358066	72.3581788881	2688	2709				
32	"F "	"Sandcoleidae"	12.2965779468	26.0188920036	242	263				
33	"F "	"Vastanavis"	30.7649635036	73.0534422857	664	685				
