"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	8	"RF"	"PD"	"Diff MPTs"
1	"F "	"FSismondia_occitana"	0.6666666667	2.7876937002	-2	6	"fossil"	1.2380952381	4.9836871858	-0.8571428571
2	"F "	"FScutellina_lenticularis"	2	9.6587661254	-4	4	"recent"	6.2264324607	16.0632250484	12.2105263158
3	"F "	"FArachnoides_placenta"	0	0	-4	4				
5	"F "	"FMonostychia_australis"	0	0	0	8				
6	"F "	"FScutellinoides_patella"	1.75	7.0687398064	0	8				
7	"F "	"FPhilipaster_occultof"	2.5	8.3180444798	4	12				
23	"F "	"FC_rosaceus"	1.75	7.052566189	0	8				
4	"R"	"Ammotrophus_cyclius"	0	0	0	8				
8	"R"	"C_annandalei"	10.2	22.6806565614	22	30				
9	"R"	"C_australasiae"	1.875	6.015754314	8	16				
10	"R"	"C_euclastus"	13.5	39.3745814702	24	32				
11	"R"	"C_europacificus"	13.652173913	31.6257899575	38	46				
12	"R"	"C_eurychorius"	10.85	24.7811982909	32	40				
13	"R"	"C_fervens"	2.6	8.1961895056	2	10				
14	"R"	"C_humilis"	9	23.8537208838	-4	4				
15	"R"	"C_japonicus"	5	12.2535681842	-6	2				
16	"R"	"C_latissimus"	11.4074074074	22.4688420789	46	54				
17	"R"	"C_miniaceus"	1	3.4641016151	-6	2				
18	"R"	"C_ochrus"	1.25	5.48121686	0	8				
19	"R"	"C_rangianus"	2	5.9135913579	-4	4				
20	"R"	"C_rarispinus"	2.8	8.8239242072	2	10				
21	"R"	"C_ravenelii"	1	3.9673826051	0	8				
22	"R"	"C_reticulatus"	13.7826086957	39.7379553023	38	46				
24	"R"	"C_rotundus"	1	3.4641016151	0	8				
25	"R"	"C_subdepressus"	5.0909090909	13.1658265133	14	22				
26	"R"	"C_telurus"	12.2941176471	29.9328745979	26	34				
