"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PF"	"Diff MPTs"	"MPTs"	1	"RF"	"PD"	"Diff MPTs"
66	"F "	"Apheliscus"	"37"	"137.498303068505"	0	1	"fossil"	10.1954415954	45.343384843	0.7948717949
46	"F "	"Archaeothe"	"24"	"97.6831612920057"	0	1	"recent"	8.4014492754	36.9846444749	1.1304347826
42	"F "	"Artiocetus"	"16.4"	"65.1438965735457"	0	1				
43	"F "	"Basilosaur"	"8"	"25.5613008110138"	3	4				
53	"F "	"Carodnia_v"	"19"	"87.1002809641529"	0	1				
61	"F "	"Cocomys_li"	"0"	"0"	1	2				
56	"F "	"Dawsonolag"	"3"	"8.33666600026653"	0	1				
68	"F "	"Didolodus_"	"20.6666666666667"	"94.7568373134023"	3	4				
85	"F "	"Eomaia_sca"	"0"	"0"	0	1				
57	"F "	"Gomphos_el"	"8"	"32.6190128606002"	0	1				
2	"F "	"Haldanodon"	"0"	"0"	3	4				
14	"F "	"Hapalops_e"	"23"	"101.564716606016"	2	3				
6	"F "	"Henkelothe"	"0"	"0"	1	2				
70	"F "	"Hyopsodus_"	"6.22222222222222"	"26.7199043548708"	0	1				
34	"F "	"Icaronycte"	"2"	"18"	0	1				
77	"F "	"Leptictis_"	"0"	"0"	0	1				
10	"F "	"Maelestes_"	"0"	"0"	0	1				
38	"F "	"Mesohippus"	"2"	"15.6843871413581"	0	1				
45	"F "	"Mesonyx_ob"	"0"	"0"	0	1				
17	"F "	"Metacheiro"	"9"	"37.9695946395"	4	5				
52	"F "	"Moeritheri"	"28"	"129.984614474175"	1	2				
1	"F "	"morg_watso"	"0"	"0"	1	2				
27	"F "	"Notharctus"	"35.3333333333333"	"168.820176479125"	0	1				
35	"F "	"Onychonyct"	"26"	"109.453186340097"	2	3				
60	"F "	"Paramys_de"	"0"	"0"	0	1				
69	"F "	"Phenacodus"	"15.5"	"60.2990887545502"	1	2				
67	"F "	"Protolipte"	"2"	"12.8840987267251"	1	2				
71	"F "	"Protungula"	"25"	"146.48863349079"	1	2				
7	"F "	"Pucadelphy"	"0"	"0"	0	1				
59	"F "	"Rhombomylu"	"11"	"35.6944584744611"	1	2				
44	"F "	"Rodhocetus"	"15"	"59.5441013031518"	1	2				
76	"F "	"Sinopa_rap"	"0"	"0"	2	3				
54	"F "	"Thomashuxl"	"0"	"0"	0	1				
58	"F "	"Tribosphen"	"10.5"	"38.5626515433629"	0	1				
11	"F "	"Ukhaatheri"	"5"	"22.2781746234567"	3	4				
74	"F "	"vulv_ovatu"	"2"	"12.8840987267251"	0	1				
75	"F "	"vulv_profe"	"18"	"101.134744662406"	0	1				
12	"F "	"Zalambdale"	"21"	"99.4477450311354"	0	1				
5	"F "	"Zhangheoth"	"5"	"22.2781746234567"	0	1				
82	"R "	"Amblysomus"	"0"	"0"	0	1				
49	"R "	"Bos_taurus"	"14"	"48.6004115208915"	0	1				
73	"R "	"Canis_lupu"	"24"	"72.691127381545"	0	1				
41	"R "	"Caperea_ma"	"0"	"0"	1	2				
63	"R "	"Castor_can"	"10"	"32.8932786278843"	0	1				
64	"R "	"Cavia_porc"	"2"	"31.5277655408689"	3	4				
20	"R "	"Cynocephal"	"0"	"0"	0	1				
13	"R "	"Dasypus_no"	"0"	"0"	3	4				
8	"R "	"Didelphis_"	"22"	"91.0158794923422"	2	3				
9	"R "	"Dromiciops"	"0"	"0"	3	4				
84	"R "	"Echinops_t"	"0"	"0"	2	3				
37	"R "	"Equus_caba"	"0"	"0"	0	1				
83	"R "	"Erinaceus_"	"0"	"0"	0	1				
72	"R "	"Felis_silv"	"2"	"12.8840987267251"	0	1				
19	"R "	"Galeopteru"	"53.3333333333333"	"167.57284207222"	4	5				
47	"R "	"Hippopotam"	"14"	"33.704406196556"	0	1				
23	"R "	"Homo_sapie"	"0"	"0"	0	1				
62	"R "	"Ictidomys_"	"8"	"32.6190128606002"	0	1				
48	"R "	"Lama_glama"	"26"	"116.027882138389"	0	1				
26	"R "	"Lemur_catt"	"14"	"59.7037527211392"	0	1				
50	"R "	"Loxodonta_"	"0"	"0"	0	1				
16	"R "	"Manis_pent"	"9.33333333333333"	"46.7568385476485"	0	1				
32	"R "	"Myotis_luc"	"26"	"108.912809164028"	0	1				
31	"R "	"Nycteris_t"	"0"	"0"	2	3				
3	"R "	"Ornithorhy"	"0"	"0"	1	2				
18	"R "	"Orycteropu"	"5"	"22.2781746234567"	0	1				
55	"R "	"Oryctolagu"	"13"	"65.4140436977401"	3	4				
36	"R "	"Procavia_c"	"22"	"105.299572648705"	0	1				
33	"R "	"Pteronotus"	"0"	"0"	1	2				
28	"R "	"Pteropus_g"	"20"	"122.187137378779"	3	4				
21	"R "	"Ptilocercu"	"0"	"0"	1	2				
65	"R "	"Rattus_nor"	"23"	"133.082315720906"	0	1				
29	"R "	"Rhinopoma_"	"0"	"0"	1	2				
78	"R "	"Rhynchocyo"	"22"	"105.299572648705"	0	1				
30	"R "	"Saccoptery"	"6"	"28.6006992921502"	1	2				
24	"R "	"Saimiri_sc"	"12.8"	"43.6728599479802"	0	1				
79	"R "	"Solenodon_"	"0"	"0"	7	8				
81	"R "	"Sorex_aran"	"7"	"35.6524220999552"	8	9				
39	"R "	"Sus_scrofa"	"4"	"52.4022900262956"	1	2				
4	"R "	"Tachygloss"	"0"	"0"	0	1				
80	"R "	"Talpa_euro"	"0"	"0"	0	1				
15	"R "	"Tamandua_t"	"6"	"57.8100337311785"	0	1				
25	"R "	"Tarsius_sy"	"2"	"12.8840987267251"	5	6				
51	"R "	"Trichechus"	"5"	"22.2781746234567"	0	1				
22	"R "	"Tupaia_gli"	"0"	"0"	0	1				
40	"R "	"Tursiops_t"	"14"	"39.522145690739"	0	1				
