"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	24	"RF"	"PD"	"Diff MPTs"
1	"F"	"Praeichneumonidae"	2.3333333333	5.9349967748	0	24	"fossil"	1.9200680272	4.6940898956	-3.7142857143
2	"F"	"Eoichneumonidae"	2.2857142857	4.8801520189	-3	21	"recent"	2.7959595959	6.4781165249	-14
3	"F"	"Tanychora"	2.1904761905	5.8054417263	-3	21				
4	"F"	"Tanychorella"	1.7142857143	4.784106483	-17	7				
8	"F"	"Aenigmabracon"	0.4444444444	1.4119667899	-15	9				
10	"F"	"Protorhyssalus"	2.8888888889	6.1175022869	12	36				
11	"F"	"Protorhyssalodes"	1.5833333333	3.9244631891	0	24				
5	"R"	"Hybrizontinae"	3	8.2633160331	-22	2				
6	"R"	"Xoridinae"	1.7333333333	5.1631709524	-9	15				
7	"R"	"Other_Ichneumonidae"	3.3636363636	7.4980134669	-2	22				
9	"R"	"Apozyginae"	2	4.7902206024	-15	9				
12	"R"	"Rhyssalinae_group"	2.8888888889	6.2423442469	-15	9				
13	"R"	"Other_cyclostomes"	2.4444444444	5.7999657127	-15	9				
14	"R"	"Aphidiinae"	1.7333333333	4.6467431197	-9	15				
15	"R"	"Trachypetinae"	4.6666666667	8.8597215906	-18	6				
16	"R"	"Noncyclostomes"	3.3333333333	7.039552999	-21	3				
