Order	Fossil/Recent	Taxa	RF	PD	Diff in MPTs	MPTs	1	RF	PD	Diff in MPTs
7	F 	Obirastrobus_kokubunii	79.3834472285	268.4443530492	2633	2634	fossil	65.8878623726	199.1272636397	1458.15
8	F 	Obirastrobus_nihongii	0	0	0	1	recent	75.570767463	229.888707755	2002.7272727273
9	F 	Pararaucaria_patagonica	78.9479166667	275.1307827163	383	384				
10	F 	picea	77.1598465473	257.2823518264	1563	1564				
11	F 	Pinus_belgica	76.95	207.7406884116	39	40				
14	F 	Pityostrobus_andraei	70.5462184874	179.2728527654	475	476				
15	F 	Pityostrobus_argonnensis	54.6666666667	118.5560936587	26	27				
16	F 	Pityostrobus_beardii	77.8272	222.0885093443	4999	5000				
17	F 	Pityostrobus_bernissartensis	48	84.9654000193	4	5				
18	F 	Pityostrobus_californiensis	80.6868489583	270.9732260239	3071	3072				
19	F 	Pityostrobus_cliffwoodensis	79.1632	250.3070922905	4999	5000				
20	F 	Pityostrobus_corneti	74.2504	230.8536941624	4999	5000				
21	F 	Pityostrobus_hallii	79.3205282113	244.3561030769	832	833				
22	F 	Pityostrobus_hautrageanus	50	95.8331884057	0	1				
23	F 	Pityostrobus_hokodzensis	79.2	267.1995451839	949	950				
24	F 	Pityostrobus_hueberi	75.75	218.4016490269	263	264				
25	F 	Pityostrobus_jacksonii	80.7272727273	244.1811171189	197	198				
26	F 	Pityostrobus_kayeii	81.7638888889	267.0203621099	143	144				
27	F 	Pityostrobus_leckenbyi	77.6478999106	254.735293821	1118	1119				
28	F 	Pityostrobus_lynnii	80.9849955869	244.4369755871	1132	1133				
29	F 	Pityostrobus_macrocephalus	70.4545454545	183.1592991949	43	44				
30	F 	Pityostrobus_makahensis	73.3401832824	201.6836913379	3600	3601				
31	F 	Pityostrobus_matsubarae	73.4936	195.9172764946	4999	5000				
32	F 	Pityostrobus_mcmurrayensis	2	9.8994949366	0	1				
33	F 	Pityostrobus_milleri	71.0434782609	200.55541167	45	46				
34	F 	Pityostrobus_oblongus	76.7012	234.5214994394	4999	5000				
35	F 	Pityostrobus_palmeri	80.0406504065	245.6333595067	245	246				
36	F 	Pityostrobus_pubescens	76.0928270042	205.0050104383	1184	1185				
37	F 	Pityostrobus_ramentosa	79.2175925926	269.2135034021	431	432				
38	F 	Pityostrobus_shastaensis	4	13.7557441412	2	3				
39	F 	Pityostrobus_villerotensis	81.3333333333	284.2134996369	2	3				
40	F 	Pityostrobus_virginiana	76.0103359173	233.4380753716	386	387				
41	F 	Pseudoaraucaria_arnoldii	81.0384615385	255.1378225174	571	572				
42	F 	Pseudoaraucaria_benstedi	80.6144	269.2261763528	4999	5000				
43	F 	Pseudoaraucaria_gibbosa	79.0529350105	230.007966795	3815	3816				
44	F 	Pseudoaraucaria_heeri	4	15.5563491861	0	1				
45	F 	Pseudoaraucaria_loppineti	0	0	0	1				
46	F 	Pseudoaraucaria_major	78.8824	221.1235891043	4999	5000				
50	F 	Picea_diettertiana	76.6666666667	307.9202839036	2	3				
51	F 	Picea_burtonii_sp._nov.	68.5555555556	187.3432135588	179	180				
1	R	Pc_abies	76.7348	220.0347425446	4999	5000				
2	R	Cathaya_argyrophylla	76.4	273.8501040373	4	5				
3	R	cedrus	60.137254902	191.1975056008	203	204				
4	R	Cryptomeria_japonica	81.3472222222	246.4984108969	287	288				
5	R	keteleeria	79.6196	257.1365178373	4999	5000				
6	R	larix	82.2540792541	255.6285422375	857	858				
12	R	Pinus_nelsonii	77.3142857143	201.7512635151	69	70				
13	R	Pinus_ponderosa	68.8	181.536890186	379	380				
47	R	Pseudolarix_amabilis	75.5572	230.5326090401	4999	5000				
48	R	pseudotsuga	74.8	199.1566293603	224	225				
49	R	tsuga	78.314	271.4525700489	4999	5000				
