"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff in MPTs"	"MPTs"	18	"RF"	"PD"	"Diff in MPTs"
3	"F "	"FOSSIL_Aethalionopsis"	3.3333333333	9.4977053852	-12	6	"FOSSIL"	4.1774622493	11.0462875814	21.1764705882
4	"F "	"FOSSIL_Apulichthys"	9.3793103448	21.9058649085	69	87	"RECENT"	7.0924969158	16.2724438331	99.3333333333
6	"F "	"FOSSIL_Charitopsis"	2.6666666667	8.7940435238	0	18				
7	"F "	"FOSSIL_Charitosomus"	2	7.0383517717	0	18				
9	"F "	"FOSSIL_Dastilbe"	4	10.436146906	-12	6				
11	"F "	"FOSSIL_Gordichthys"	3.7777777778	10.4554672693	0	18				
13	"F "	"FOSSIL_Hakeliosomus"	9.7931034483	21.4649100766	330	348				
14	"F "	"FOSSIL_Halecopsis"	4	7.1833095916	-15	3				
15	"F "	"FOSSIL_Judeichthys"	1.8888888889	7.0775917884	0	18				
17	"F "	"FOSSIL_Lecceichthys"	4.5333333333	11.1459753316	-3	15				
18	"F "	"FOSSIL_New_genus"	4.8888888889	12.3858853603	18	36				
19	"F "	"FOSSIL_Notogoneus"	4	11.0734554711	0	18				
20	"F "	"FOSSIL_Parachanos"	3	10.1814599293	-12	6				
23	"F "	"FOSSIL_Ramallichthys"	2.6666666667	8.3095002535	0	18				
24	"F "	"FOSSIL_Rubiesichthys"	3.8888888889	10.897101622	0	18				
25	"F "	"FOSSIL_Sorbininardus"	3.2	9.1750604898	-3	15				
26	"F "	"FOSSIL_Tharrhias"	4	10.7650592045	0	18				
1	"R"	"Brycon"	4.1111111111	10.0873928697	0	18				
2	"R"	"Opsariichthys"	3.3333333333	9.8253790676	0	18				
5	"R"	"Chanos"	4	11.8518889208	0	18				
8	"R"	"Cromeria"	4.4444444444	10.5116425805	0	18				
10	"R"	"Gonorynchus"	10.2307692308	21.498269946	138	156				
12	"R"	"Grasseichthys"	13.2133333333	26.5753449544	132	150				
16	"R"	"Kneria"	4.6666666667	10.0637129392	0	18				
21	"R"	"Parakneria"	4.5555555556	10.4683543873	0	18				
22	"R"	"Phractolaemus"	15.277258567	35.570008832	624	642				
