"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff in MPTs"	"MPTs"	1	"RF"	"PD"	"Diff in MPTs"
1	"F "	"FAkmonistion"	5	12.3794184031	1	2	"fossil"	2.5133333333	6.2667801533	0.8
3	"F "	"FCladodoides"	2	5.6568542495	0	1	"recent"	0.3333333333	0.9428090416	0.3333333333
4	"F "	"FCladoselache"	2	5.6568542495	0	1				
5	"F "	"FCobelodus"	10.8	21.2707653128	4	5				
6	"F "	"FDebeerius"	0	0	0	1				
7	"F "	"FDoliodus"	4	10.5830052443	0	1				
8	"F "	"FEgertonodus"	5.5	14.5643907027	3	4				
9	"F "	"FHelodus"	0	0	0	1				
10	"F "	"FIniopera_sp."	0	0	0	1				
11	"F "	"FKawichthys"	2	7.4833147735	0	1				
13	"F "	"FOrthacanthus"	0	0	0	1				
14	"F "	"FPucapampella"	6.4	16.4070993636	4	5				
16	"F "	"FSynechodus"	0	0	0	1				
17	"F "	"FTamiobatis_sp."	0	0	0	1				
18	"F "	"FTristychius"	0	0	0	1				
2	"R"	"Chimaera"	1	2.8284271247	1	2				
12	"R"	"Notorynchus"	0	0	0	1				
15	"R"	"Squalus"	0	0	0	1				
