"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff in MPTs"	"MPTs"	1	"RF"	"PD"	"Diff in MPTs"
3	"F "	"Ngamarooarcheri"	2	8	0	1	"fossil"	2.0941176471	11.2206902122	0.2941176471
5	"F "	"Troposodonminor"	2	17	0	1	"recent"	2.8529411765	14.7129137668	0.4705882353
6	"F "	"Nowidgeematrix"	2	12.0415945788	0	1				
7	"F "	"Ganguroobilamina"	0	0	0	1				
8	"F "	"Wanburoohilarus"	2	12.0415945788	0	1				
9	"F "	"Hadronomaspuckridgi"	7.6	39.2019906081	4	5				
10	"F "	"Sthenurusandersoni"	2	12.0415945788	0	1				
11	"F "	"Simosthenurusoccidentalis"	2	12.0415945788	0	1				
12	"F "	"Procoptodongoliah"	0	0	0	1				
13	"F "	"Dorcopsoidesfossilis"	2	12.0415945788	0	1				
19	"F "	"Bohrailluminata"	6	20.5182845287	0	1				
22	"F "	"Protemnodonanak"	4	27.0618225379	1	2				
23	"F "	"Congruuscongruus"	0	0	0	1				
25	"F "	"Prionotemnuspalankarinnicus"	0	0	0	1				
26	"F "	"Kurrabimahoneyi"	0	0	0	1				
29	"F "	"Baringanelsonensis"	4	18.7616630393	0	1				
33	"F "	"Maropuspavana"	0	0	0	1				
1	"R"	"Bettongiapenicillata"	0	0	0	1				
2	"R"	"Potoroustridactylus"	0	0	0	1				
4	"R"	"Lagostrophusfasciatus"	8	25.079872408	0	1				
14	"R"	"Dorcopsisveterum"	2	17	0	1				
15	"R"	"Dorcopsulusvanheurni"	0	0	0	1				
16	"R"	"Setonixbrachyurus"	6	37.1079506306	0	1				
17	"R"	"Thylogalebillardierii"	0	0	0	1				
18	"R"	"Petrogalebrachyotis"	4	22.1810730128	0	1				
20	"R"	"Degusbennettianus"	2	16.9705627485	0	1				
21	"R"	"Degusmatschiei"	2	16.9705627485	0	1				
24	"R"	"Wallabiabicolor"	6	22.803682864	1	2				
27	"R"	"Lagrchestesconspicillatus"	4.5	19.7533073216	3	4				
28	"R"	"Laorchesteshirsutus"	0	0	0	1				
30	"R"	"Onychogaleaunguifera"	6	32.2490309932	0	1				
31	"R"	"Mcropuseugenii"	0	0	0	1				
32	"R"	"Macropusfuliginosus"	3	18.5847863126	1	2				
34	"R"	"Macopusrobustus"	5	21.4187049966	3	4				
