"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	14	"RF"	"RF"	"RF"
1	"F "	"Mickwitzia"	25.7674418605	47.9889453982	29	43	"fossil"	15.1534264446	40.0537196122	64.7692307692
3	"F "	"Acaenoplax"	41.4074074074	124.8747819947	310	324	"recent"	21.2383788382	52.821426515	119.5714285714
5	"F "	"Acutichiton"	25.3333333333	74.8997237628	-2	12				
7	"F "	"Cobcrephora"	26	81.9036943229	1	15				
9	"F "	"Echinochiton"	19.0634920635	48.9287831643	112	126				
10	"F "	"Enetoplax"	13.5454545455	38.8961078251	30	44				
12	"F "	"Glaphurochiton"	8.8571428571	26.5833083243	0	14				
14	"F "	"Halkieria"	11.5912408759	22.507393335	123	137				
15	"F "	"Hanleya"	7.1428571429	17.2120652287	0	14				
16	"F "	"H.thraivensis"	25.2290502793	65.755715206	165	179				
17	"F "	"Heloplax"	9.1538461538	26.4790986026	12	26				
18	"F "	"Lepidocoleus"	6.5555555556	17.8431777854	4	18				
19	"F "	"Leptochiton"	5	14.8561848039	-12	2				
20	"F "	"Matthevia"	28.1863354037	78.4243998026	147	161				
22	"F "	"Odontogriphus"	5	13.7018975229	0	14				
23	"F "	"Orthrozanclus"	16.950310559	43.463232768	308	322				
24	"F "	"Pedanochiton"	17.3333333333	31.8246302895	-11	3				
25	"F "	"Permochiton"	15.1666666667	37.2245506958	-2	12				
26	"F "	"Plumulites"	10.1666666667	28.1718952107	10	24				
27	"F "	"Polysaccos"	7	17.5257053559	0	14				
28	"F "	"Rhombichiton"	16.5	53.3664992509	-10	4				
29	"F "	"Robustum"	15.8723404255	42.2003760556	33	47				
30	"F "	"Septemchiton"	11	25.7085917065	12	26				
31	"F "	"Strobilepis"	6.5714285714	16.4498362222	0	14				
32	"F "	"Turrilepas"	4.8571428571	13.4107377151	0	14				
33	"F "	"Wiwaxia"	14.7380410023	31.1953775674	425	439				
2	"R"	"Neocrania"	25.8888888889	52.6938829243	4	18				
4	"R"	"Acanthopleura"	13.3773584906	33.1844226643	92	106				
6	"R"	"Chaetoderma"	10.16	20.3462095197	161	175				
8	"R"	"Cryptoplax"	25.5972222222	70.5383704971	274	288				
11	"R"	"Epimenia"	27.024	66.27143692	111	125				
13	"R"	"Gryphochiton"	10.7	27.9750803815	6	20				
21	"R"	"Neopilina"	35.921182266	98.7405826981	189	203				
