"Order"	"Fossi/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"		"RF"	"PD"	"DIff MPTs"
1	"F"	"Karaurus"	14.7692307692	24.78244324	46	52	"fossils"	9.1008203797	16.2098147258	12.0909090909
2	"F"	"Liaoxitriton"	0	0	-2	4	"recent"	6.3134677871	12.5671898058	5.7
3	"F"	"Jeholotriton"	21	33.9524464445	-2	4				
4	"F"	"Chunerpeton"	9.4285714286	21.3339363827	1	7				
5	"F"	"Valdotriton"	0	0	-5	1				
6	"F"	"Iridotriton"	15.125	25.196304434	10	16				
7	"F"	"Pangerpeton"	6.9152542373	12.9740372505	53	59				
18	"F"	"Regalerpeton"	5.5	13.0572732283	10	16				
19	"F"	"Seminobatrachus"	0	0	-1	5				
20	"F"	"Batrachosauroididae"	23.5	36.8893391824	-2	4				
21	"F"	"Kokartus"	3.8709677419	10.122181821	25	31				
8	"R"	"Sirenidae"	0	0	-4	2				
9	"R"	"Hynobiidae"	7.4285714286	15.9675999634	1	7				
10	"R"	"Cryptobranchidae"	12.64	20.1248410614	19	25				
11	"R"	"Ambystomatidae"	14.6470588235	21.9827838898	28	34				
12	"R"	"Salamandra"	6.8	18.192555522	-1	5				
13	"R"	"Dicamptodon"	4	10.4933254627	-2	4				
14	"R"	"Plethodontidae"	12.7857142857	23.6036210849	22	28				
15	"R"	"Rhyacotriton"	2.3333333333	6.5782364954	0	6				
16	"R"	"Amphiumidae"	2.5	8.7289345785	-2	4				
17	"R"	"Proteidae"	0	0	-4	2				
