"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	8	"RF"	"PD"	"Diff MPTs"
26	"F "	"Daphoenus_sp."	20	79.0643504814	155	163	"fossil"	7.968195922	39.1350189333	44.2857142857
10	"F "	"Dawsonicyon_isami"	3.6666666667	20.0704574967	10	18	"recent"	8.3942952956	33.5935296281	207.2666666667
22	"F "	"didyprotenus"	9.8285714286	29.5209720849	27	35				
23	"F "	"didyvancleveae"	3.6071428571	17.5030133279	48	56				
37	"F "	"Dinictis"	20.7762376238	90.7320767851	497	505				
47	"F "	"Herpestides_antiquus"	4.2083333333	20.482109403	40	48				
24	"F "	"Hesperocyon_gregarious"	2	12.8733458284	0	8				
36	"F "	"Hoplophoneus"	14.9655172414	91.1976541251	21	29				
1	"F "	"Hyaenodon"	11.504	60.3697763077	117	125				
27	"F "	"miacognitus"	2.25	12.7661548982	0	8				
48	"F "	"miaexiguus"	2.25	15.0142695627	0	8				
49	"F "	"miamedius"	9.875	49.7781416161	56	64				
9	"F "	"miaparvivorus"	13.6111111111	69.4431808613	28	36				
11	"F "	"miapetilus"	16.1785714286	80.9479280389	104	112				
13	"F "	"miasylvestris"	14.3846153846	69.5379898182	18	26				
15	"F "	"miauintensis"	2.6666666667	14.5059001318	1	9				
12	"F "	"miawashakius"	17.0649350649	87.2075936163	69	77				
5	"F "	"Oodectes_herpestoides"	6.8372093023	24.9237193968	35	43				
25	"F "	"Otarocyon"	1.75	10.855627901	0	8				
44	"F "	"Palaeoprionodon"	9.625	40.5765188763	8	16				
50	"F "	"PM_3868"	8.6666666667	49.2861682221	1	9				
46	"F "	"Proailurus"	1.5	7.8701508382	0	8				
14	"F "	"Procynodictis_vulpiceps"	12.5	60.9283930443	12	20				
18	"F "	"Protictis_schaffi"	2.25	11.911635911	8	16				
33	"F "	"Pteronarctos_goedertae"	10.8	42.8589259355	12	20				
17	"F "	"Quercygale"	11.0540540541	60.4944928558	140	148				
45	"F "	"Stenogale"	2.25	12.9333721642	0	8				
16	"F "	"Tapocyon_robustus"	11.7142857143	67.2115608653	-1	7				
2	"F "	"Thinocyon_sp"	15.625	82.9666244425	8	16				
19	"F "	"viv_acutus"	3.25	13.6428191492	48	56				
21	"F "	"viv_gracilis"	1.5	8.7609821015	0	8				
20	"F "	"viv_minutus"	5.2272727273	20.2760015783	80	88				
8	"F "	"vulovatus"	2.75	16.8938272608	8	16				
7	"F "	"vulpalustris"	1.5	8.5060302931	0	8				
6	"F "	"vulprofectus"	1.25	7.8138974456	0	8				
35	"R"	"Ailurus_fulgens"	11.5625	60.8838479987	56	64				
28	"R"	"Canis_latrans"	1.5	8.6489794856	0	8				
40	"R"	"Civettictis_civetta"	1.25	8.3755643234	0	8				
3	"R"	"Echinosorex_gymnurus"	1.5	10.8400180756	0	8				
4	"R"	"Erinaceus_europaeus"	3	13.5415723305	12	20				
41	"R"	"Felis_concolor"	2.375	10.6034053336	8	16				
30	"R"	"Gulo_gulo"	12.6428571429	37.5669195459	20	28				
42	"R"	"Herpestes"	2	12.730627901	0	8				
39	"R"	"Hyaena_hyaena"	10.625	22.1163829685	8	16				
29	"R"	"Mephitis_mephitis"	3	14.3920662064	8	16				
38	"R"	"Nandinia_binotata"	27.7957695113	96.5562784574	2734	2742				
32	"R"	"Otariidae"	17.5844155844	51.7779547063	69	77				
34	"R"	"Procyon_lotor"	13.109375	64.266626959	120	128				
31	"R"	"Ursus"	4.75	15.9598064354	0	8				
43	"R"	"Zodiolestes"	13.2195121951	75.6428936935	74	82				
