Order	Fossil/Recent	Taxa	RF	PD	Diff MPTs	MPTs	2	RF	PD	Diff MPTs
2	F 	Chelomophyrnus	1	3	0	2	fossil	1.4351851852	4.0853930134	2.0833333333
3	F 	Cordicephalus	0	0	-1	1	recent	1.1458333333	3.5741017804	0.75
5	F 	Eoxenopoides	4.8888888889	14.3968111184	16	18				
7	F 	Llankibatrachus	0	0	0	2				
8	F 	Pachycentrata	0	0	0	2				
9	F 	Palaeobatrachus	0	0	-1	1				
13	F 	Saltenia	4	11.1355287257	0	2				
14	F 	Shelan_laur.	0	0	0	2				
15	F 	Shelania_pasc.	3.3333333333	9.6639491922	10	12				
17	F 	Singidella	2	6	0	2				
18	F 	Thoraciliacus	2	4.8284271247	1	3				
20	F 	Xenopus_rom.	0	0	0	2				
1	R	Bombina	0	0	0	2				
4	R	Discoglossus	0	0	0	2				
6	R	Hymenochirus	0	0	0	2				
10	R	Pipa	6.5	19.2761894531	6	8				
11	R	Pseudhymenochi.	0	0	0	2				
12	R	Rhinophrynus	0	0	-1	1				
16	R	Silurana	0.6666666667	3.3166247904	1	3				
19	R	Xenopus	2	6	0	2				
