"Order in matrix"	"Fossil/Recent"	"Taxon"	"RF"	"PD"	"Diff MPTs"	"MPTs"	602	"RF"	"PD"	"Diff MPTs"
1	"R"	"Schlettererius"	0.75	3.2508689761	-554	48	"Fossil"	1.7303363547	4.8157215619	-475.4285714286
2	"R"	"Orthogonalys"	2.5659574468	8.9564181657	-132	470	"Recent"	3.4280120888	11.6207835257	-189.5714285714
3	"R"	"Pristaulacus"	0.8209876543	3.6088370809	-278	324				
4	"R"	"Gasteruption"	0.6825396825	3.1392575347	-476	126				
5	"R"	"Evania"	0.431372549	1.6618911007	-398	204				
6	"R"	"Megaspilus"	9	29.6866249731	-506	96				
7	"R"	"Carminator"	0.7666666667	3.3717213325	-542	60				
8	"R"	"Cryptalyra"	8.3398987057	20.318419823	1175	1777				
9	"R"	"Dinapsis"	5.5	24.9558033062	-598	4				
10	"R"	"Ettchellsia"	0.75	3.4417301708	-562	40				
11	"R"	"Megalyra"	0.3333333333	1.2274140679	-536	66				
12	"R"	"Megalyridia"	8.0728699552	27.841805307	1182	1784				
13	"R"	"Neodinapsis"	9.2943327239	28.5543517688	-55	547				
14	"R"	"Rigel"	0.6842105263	2.675825753	-374	228				
15	"F"	"Cretodinapsis"	0.5675675676	2.1321865398	-380	222				
16	"F"	"Megalava"	0.4736842105	1.8660945834	-412	190				
17	"F"	"Megallica"	0.8571428571	4.3080707262	-574	28				
18	"F"	"Megazar"	0.5	2.1906072199	-586	16				
19	"F"	"P.janzeni"	0.7016574586	2.5926013644	-240	362				
20	"F"	"P.minor"	0.6344827586	2.6128378503	-312	290				
21	"F"	"P.oesiensis"	0	0	-596	6				
22	"F"	"P.pumilio"	0.2330097087	0.8176806558	-499	103				
23	"F"	"P.succinalis"	0.6	3.6022026576	-592	10				
24	"F"	"Rubes"	0.0392156863	0.1413941677	-500	102				
25	"F"	"Ukrainosa"	0.6666666667	2.8895811717	-512	90				
26	"F"	"Valaa"	6.2666666667	18.9342673099	-452	150				
27	"F"	"Guyotemaimetsha"	0.5	2.6417990019	-594	8				
28	"F"	"Maimetsha"	12.1846153846	22.6907786185	-407	195				
