Order	Fossil/Recent	Taxa	RF	PD	Diff in MPTs	MPTs	128	RF	PD	Diff in MPTs
20	F 	FCnemiornis_calcitrans	16.085106383	51.9893809346	342	470	fossil	5.2243836542	18.0214255672	26.8
45	F 	FMionetta_blanchardi	0	0	-72	56	recent	7.8454671775	29.6766927092	61.6470588235
46	F 	FManuherikia_lacustrina	10.8888888889	40.2068463645	-56	72				
47	F 	FDunstanetta	0	0	-112	16				
48	F 	FMiotadorna	7.0476190476	26.1403948732	166	294				
49	F 	FAussie_tedfordi	0	0	-80	48				
50	F 	FAussie_vickersrichae	0	0	-96	32				
51	F 	FAussie_fromensis	10.2222222222	31.613024783	88	216				
55	F 	FChena_finschi	8	30.2646087167	88	216				
61	F 	FPresbyornis	0	0	0	128				
1	R	Anhima_cornuta	1	5.4313902456	128	256				
2	R	Anseranas	0	0	0	128				
3	R	Thalassornis	1.25	6.7745162288	0	128				
4	R	Dend_arborea	9.4618834081	34.5585655343	318	446				
5	R	Dendocygna_autumnalis	11.7192982456	47.386435568	100	228				
6	R	Dndrocygna_bicolor	9.5939849624	34.0917399239	404	532				
7	R	Dedrocygna_eytoni	8.7272727273	41.7293932834	224	352				
8	R	Denrocygna_arcuata	7.088372093	29.246683164	302	430				
9	R	Oxyura_vittata	0	0	-16	112				
10	R	Oxyura_jamaicensis	1	5.4313902456	96	224				
11	R	Oxyura_australis	0	0	0	128				
12	R	Oxyura_maccoa	1	5.4313902456	96	224				
13	R	Nomonyx_dominicus	15.6107055961	45.9303302268	694	822				
14	R	Stictonetta	0	0	-64	64				
15	R	Biziura_lobata	0	0	-112	16				
16	R	Malacorhynchus	35	86.0689116229	-86	42				
17	R	Nettapus_pulchellus	1	8.3666002653	-72	56				
18	R	N._coromandelianus	0	0	0	128				
19	R	Cereopsis	18.7368421053	56.8932777477	138	266				
21	R	Branta_canadensis	0	0	-64	64				
22	R	Anser_brachyrhynchus	0	0	-72	56				
23	R	Anser_caerulescens	2	21.6333076528	-72	56				
24	R	Anser_rossii	0	0	0	128				
25	R	Cygnus_atratus	3.9718309859	20.6356368092	-57	71				
26	R	Tadorna_ferriginea	0	0	-72	56				
27	R	T_tadornoides	18	96.0792939763	-112	16				
28	R	T_tadorna	4.1818181818	17.3434447257	26	154				
29	R	Tadorna_variegata	4.4	17.47684182	-48	80				
30	R	Tadorna_radjah	11	48.2107571086	-48	80				
31	R	Alopochen	24	86.8216562846	-121	7				
32	R	Chloea_hybrida	25	83.3616745773	-42	86				
33	R	Chloephaga_poliocephala	19.5	86.6875077781	-64	64				
34	R	Somateria_mollisima	13.2765957447	45.3675153871	624	752				
35	R	Lophodytes_cucullatus	1.3333333333	3.708515393	16	144				
36	R	Melanitta_fusca	15.1153846154	60.3929216297	704	832				
37	R	Chenonetta_jubata	8.6666666667	30.9118510191	208	336				
38	R	Hymenolaimus	11.2363636364	54.444381562	92	220				
39	R	Mergus_merganser	0	0	0	128				
40	R	Anas_superciliosa	6.2735042735	31.5169754501	106	234				
41	R	Aix_galericulata	23.5	65.2496375212	0	128				
42	R	Aythya_australis	28	114.9518082927	-112	16				
43	R	Aythya_affinus	13.5384615385	44.5796586674	288	416				
44	R	Aythya_novaeseelandiae	4	13.2245562833	40	168				
56	R	Mergus_serrator	0	0	0	128				
57	R	Anas_rhynchotis	10.6666666667	50.2846890168	-80	48				
58	R	Anas_castanea	0	0	-64	64				
59	R	Aythya_fuligula	12	39.6736688498	-64	64				
60	R	Netta_rufina	4	18.6010752377	0	128				
52	T	Plectropterus	15.2698412698	55.0133288272	-2	126				
53	T	Clangula_hyemalis	0	0	-16	112				
54	T	Bucephala_clangula	0	0	0	128				
