"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PF"	"Diff MPTs"	"MPTs"	5	"RF"	"PD"	"Diff MPTs"
4	"F "	"Mioplosus_labricoides"	2.8888888889	9.4728586798	4	9	"fossil"	3.557936508	10.9716484544	2.75
5	"F "	"pris_serrata"	5.1428571429	14.8324894199	2	7	"recent"	2.3458874459	7.42853762	0.7727272727
6	"F "	"pris_liops"	3	8.6738632416	5	10				
26	"F "	"Niphon"	3.2	10.9073824764	0	5				
1	"R"	"Beryx_decadactylus"	2	7.3876767745	-2	3				
2	"R"	"Polymixia_berndti"	2	6.9282032303	-4	1				
3	"R"	"Lateolabrax_japonicus"	1.6	6.0939308373	0	5				
7	"R"	"Roccus_saxatilis"	0.8	2.7712812921	0	5				
8	"R"	"Roccus_chrysops"	0.8	2.7712812921	0	5				
9	"R"	"Morone_americana"	2	6.1165137324	0	5				
10	"R"	"Morone_mississippiensis"	2	6.1165137324	0	5				
11	"R"	"Dicentrarchus_labrax"	5.4	16.0816879969	15	20				
12	"R"	"Lates_mariae"	2	7.2038873568	0	5				
13	"R"	"Lates_calcarifer"	2	7.2038873568	0	5				
14	"R"	"Siniperica"	1.2	4.1569219382	0	5				
15	"R"	"cent_parallelus"	2	7.2038873568	0	5				
16	"R"	"cent_undecimalis"	2	7.2038873568	0	5				
17	"R"	"Mycteroperca_tigris"	7.3333333333	20.4775490372	-2	3				
18	"R"	"Serranus_subligarius"	6	16.55028151	12	17				
19	"R"	"Macquaria_australasica"	3.3333333333	9.8392592701	1	6				
20	"R"	"Percichthys_trucha"	4.1428571429	12.6015987231	9	14				
21	"R"	"Lepomis_macrochirus"	3	8.8724285283	-3	2				
22	"R"	"Micropterus_dolomieu"	0.6666666667	2.3094010768	-2	3				
23	"R"	"Perca_flavescens"	0	0	-1	4				
24	"R"	"Stizostedion_vitreum"	0	0	-4	1				
25	"R"	"Pseudaphritis_urvillii"	1.3333333333	5.5377492419	-2	3				
