"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PF"	"Diff MPTs"	"MPTs"	3	"RF"	"PD"	"Diff MPTs"
9	"F "	"Megalapteryx_didinus,"	1	4.0620192023	-1	2	"fossil"	1.9155844156	5.998744765	0.2727272727
10	"F "	"Dinornis_robustus,"	2	6.6450722386	1	4	"recent"	0.1428571429	0.6546536707	-0.2142857143
11	"F "	"Pachyornis_geranoides,"	1.5	4.8476798574	1	4				
12	"F "	"Pachyornis_elephantopus,"	0	0	0	3				
13	"F "	"Pachyornis_australis,"	0	0	0	3				
14	"F "	"Anomalopteryx_didiformis,"	2	6.3245553203	-1	2				
15	"F "	"Emeus_crassus,"	6	16.1081182509	3	6				
16	"F "	"Euryapteryx_curtus,"	2.5714285714	8.2086326012	4	7				
17	"F "	"Aepyornis,"	5	15.2075392493	-1	2				
18	"F "	"Mullerornis,"	0	0	-2	1				
25	"F "	"Lithornis"	1	4.582575695	-1	2				
1	"R"	"Nothura_maculosa,"	1	4.582575695	3	6				
2	"R"	"Eudromia_elegans,"	0	0	0	3				
3	"R"	"Crypturellus_obsoletus,"	1	4.582575695	3	6				
4	"R"	"Leipoa_ocellata,"	0	0	-2	1				
5	"R"	"Anhima_cornuta,"	0	0	-2	1				
6	"R"	"Anseranas_semipalmata,"	0	0	-2	1				
7	"R"	"Apteryx_australis,"	0	0	0	3				
8	"R"	"Apteryx_owenii,"	0	0	0	3				
19	"R"	"Struthio_camelus,"	0	0	-2	1				
20	"R"	"Pterocnemia_pennata,"	0	0	-1	2				
21	"R"	"Rhea_americana,"	0	0	0	3				
22	"R"	"Casuarius_bennetti,"	0	0	0	3				
23	"R"	"Casuarius_casuarius,"	0	0	0	3				
24	"R"	"Dromaius_novaehollandiae,"	0	0	0	3				
										
										
										
	","									
